organism,dataset_type,uniprot_id,download_status,alphafold_version,download_url,structure_path,error
ESKAPE,conformational,G3XD49,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-G3XD49-F1-model_v6.pdb,structures/ESKAPE/conformational/G3XD49.pdb,
ESKAPE,conformational,P11439,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-P11439-F1-model_v6.pdb,structures/ESKAPE/conformational/P11439.pdb,
ESKAPE,conformational,P13794,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-P13794-F1-model_v6.pdb,structures/ESKAPE/conformational/P13794.pdb,
ESKAPE,conformational,P35818,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-P35818-F1-model_v6.pdb,structures/ESKAPE/conformational/P35818.pdb,
ESKAPE,conformational,Q2FWP0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FWP0-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2FWP0.pdb,
ESKAPE,conformational,Q2FWV3,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FWV3-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2FWV3.pdb,
ESKAPE,conformational,Q2FXX5,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FXX5-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2FXX5.pdb,
ESKAPE,conformational,Q2FZB1,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZB1-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2FZB1.pdb,
ESKAPE,conformational,Q2FZF0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2FZF0-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2FZF0.pdb,
ESKAPE,conformational,Q2G010,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G010-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G010.pdb,
ESKAPE,conformational,Q2G015,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G015-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G015.pdb,
ESKAPE,conformational,Q2G032,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G032-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G032.pdb,
ESKAPE,conformational,Q2G0A2,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G0A2-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G0A2.pdb,
ESKAPE,conformational,Q2G1K8,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G1K8-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G1K8.pdb,
ESKAPE,conformational,Q2G1X0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G1X0-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G1X0.pdb,
ESKAPE,conformational,Q2G2D8,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q2G2D8-F1-model_v6.pdb,structures/ESKAPE/conformational/Q2G2D8.pdb,
ESKAPE,conformational,Q9I6J0,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-Q9I6J0-F1-model_v6.pdb,structures/ESKAPE/conformational/Q9I6J0.pdb,
