organism,dataset_type,uniprot_id,download_status,source,alphafold_version,structure_id,download_url,structure_path,error
ESKAPE,conformational,G3XD49,already_exists,existing,,,,structures/ESKAPE/conformational/G3XD49.pdb,
ESKAPE,conformational,P11439,already_exists,existing,,,,structures/ESKAPE/conformational/P11439.pdb,
ESKAPE,conformational,P13794,already_exists,existing,,,,structures/ESKAPE/conformational/P13794.pdb,
ESKAPE,conformational,P35818,already_exists,existing,,,,structures/ESKAPE/conformational/P35818.pdb,
ESKAPE,conformational,Q2FWP0,already_exists,existing,,,,structures/ESKAPE/conformational/Q2FWP0.pdb,
ESKAPE,conformational,Q2FWV3,already_exists,existing,,,,structures/ESKAPE/conformational/Q2FWV3.pdb,
ESKAPE,conformational,Q2FXX5,already_exists,existing,,,,structures/ESKAPE/conformational/Q2FXX5.pdb,
ESKAPE,conformational,Q2FZB1,already_exists,existing,,,,structures/ESKAPE/conformational/Q2FZB1.pdb,
ESKAPE,conformational,Q2FZF0,already_exists,existing,,,,structures/ESKAPE/conformational/Q2FZF0.pdb,
ESKAPE,conformational,Q2G010,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G010.pdb,
ESKAPE,conformational,Q2G015,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G015.pdb,
ESKAPE,conformational,Q2G032,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G032.pdb,
ESKAPE,conformational,Q2G0A2,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G0A2.pdb,
ESKAPE,conformational,Q2G1K8,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G1K8.pdb,
ESKAPE,conformational,Q2G1X0,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G1X0.pdb,
ESKAPE,conformational,Q2G2D8,already_exists,existing,,,,structures/ESKAPE/conformational/Q2G2D8.pdb,
ESKAPE,conformational,Q9I6J0,already_exists,existing,,,,structures/ESKAPE/conformational/Q9I6J0.pdb,
