organism,dataset_type,uniprot_id,download_status,alphafold_version,download_url,structure_path,error
ESKAPE,linear,A0A0H3GGM3,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GGM3-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GGM3.pdb,
ESKAPE,linear,A0A0H3GIG3,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GIG3-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GIG3.pdb,
ESKAPE,linear,A0A0H3GK81,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GK81-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GK81.pdb,
ESKAPE,linear,A0A0H3GKL7,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GKL7-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GKL7.pdb,
ESKAPE,linear,A0A0H3GN17,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GN17-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GN17.pdb,
ESKAPE,linear,A0A0H3GNG3,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GNG3-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GNG3.pdb,
ESKAPE,linear,A0A0H3GP64,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GP64-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GP64.pdb,
ESKAPE,linear,A0A0H3GQ86,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GQ86-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GQ86.pdb,
ESKAPE,linear,A0A0H3GSS7,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GSS7-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GSS7.pdb,
ESKAPE,linear,A0A0H3GWX4,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GWX4-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GWX4.pdb,
ESKAPE,linear,A0A0H3GX94,downloaded,v6,https://alphafold.ebi.ac.uk/files/AF-A0A0H3GX94-F1-model_v6.pdb,structures/ESKAPE/linear/A0A0H3GX94.pdb,
