organism,dataset_type,uniprot_id,download_status,source,alphafold_version,structure_id,download_url,structure_path,error
ESKAPE,linear,A0A0H3GGM3,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GGM3.pdb,
ESKAPE,linear,A0A0H3GIG3,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GIG3.pdb,
ESKAPE,linear,A0A0H3GK81,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GK81.pdb,
ESKAPE,linear,A0A0H3GKL7,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GKL7.pdb,
ESKAPE,linear,A0A0H3GN17,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GN17.pdb,
ESKAPE,linear,A0A0H3GNG3,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GNG3.pdb,
ESKAPE,linear,A0A0H3GP64,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GP64.pdb,
ESKAPE,linear,A0A0H3GQ86,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GQ86.pdb,
ESKAPE,linear,A0A0H3GSS7,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GSS7.pdb,
ESKAPE,linear,A0A0H3GWX4,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GWX4.pdb,
ESKAPE,linear,A0A0H3GX94,already_exists,existing,,,,structures/ESKAPE/linear/A0A0H3GX94.pdb,
ESKAPE,linear,A0ABX6CC62,not_found,none,,,,,Expecting value: line 1 column 1 (char 0)
ESKAPE,linear,A0ABX6CCP4,not_found,none,,,,,Expecting value: line 1 column 1 (char 0)
ESKAPE,linear,A0ABX6CM31,not_found,none,,,,,Expecting value: line 1 column 1 (char 0)
ESKAPE,linear,G3XD49,already_exists,existing,,,,structures/ESKAPE/linear/G3XD49.pdb,
ESKAPE,linear,P04739,already_exists,existing,,,,structures/ESKAPE/linear/P04739.pdb,
ESKAPE,linear,P0A074,already_exists,existing,,,,structures/ESKAPE/linear/P0A074.pdb,
ESKAPE,linear,P11439,already_exists,existing,,,,structures/ESKAPE/linear/P11439.pdb,
ESKAPE,linear,P13794,already_exists,existing,,,,structures/ESKAPE/linear/P13794.pdb,
ESKAPE,linear,P14738,already_exists,existing,,,,structures/ESKAPE/linear/P14738.pdb,
ESKAPE,linear,P14756,already_exists,existing,,,,structures/ESKAPE/linear/P14756.pdb,
ESKAPE,linear,P30718,already_exists,existing,,,,structures/ESKAPE/linear/P30718.pdb,
ESKAPE,linear,Q06579,already_exists,existing,,,,structures/ESKAPE/linear/Q06579.pdb,
ESKAPE,linear,Q2FUX4,already_exists,existing,,,,structures/ESKAPE/linear/Q2FUX4.pdb,
ESKAPE,linear,Q2FUY2,already_exists,existing,,,,structures/ESKAPE/linear/Q2FUY2.pdb,
ESKAPE,linear,Q2FVI5,already_exists,existing,,,,structures/ESKAPE/linear/Q2FVI5.pdb,
ESKAPE,linear,Q2FVK2,already_exists,existing,,,,structures/ESKAPE/linear/Q2FVK2.pdb,
ESKAPE,linear,Q2FWC4,already_exists,existing,,,,structures/ESKAPE/linear/Q2FWC4.pdb,
ESKAPE,linear,Q2FWM6,already_exists,existing,,,,structures/ESKAPE/linear/Q2FWM6.pdb,
ESKAPE,linear,Q2FWN4,already_exists,existing,,,,structures/ESKAPE/linear/Q2FWN4.pdb,
ESKAPE,linear,Q2FWP0,already_exists,existing,,,,structures/ESKAPE/linear/Q2FWP0.pdb,
ESKAPE,linear,Q2FXA5,already_exists,existing,,,,structures/ESKAPE/linear/Q2FXA5.pdb,
ESKAPE,linear,Q2FXB0,already_exists,existing,,,,structures/ESKAPE/linear/Q2FXB0.pdb,
ESKAPE,linear,Q2FXJ6,already_exists,existing,,,,structures/ESKAPE/linear/Q2FXJ6.pdb,
ESKAPE,linear,Q2FXN2,already_exists,existing,,,,structures/ESKAPE/linear/Q2FXN2.pdb,
ESKAPE,linear,Q2FXX5,already_exists,existing,,,,structures/ESKAPE/linear/Q2FXX5.pdb,
ESKAPE,linear,Q2FY60,already_exists,existing,,,,structures/ESKAPE/linear/Q2FY60.pdb,
ESKAPE,linear,Q2FYP2,already_exists,existing,,,,structures/ESKAPE/linear/Q2FYP2.pdb,
ESKAPE,linear,Q2FZ93,already_exists,existing,,,,structures/ESKAPE/linear/Q2FZ93.pdb,
ESKAPE,linear,Q2FZ94,already_exists,existing,,,,structures/ESKAPE/linear/Q2FZ94.pdb,
ESKAPE,linear,Q2FZB1,already_exists,existing,,,,structures/ESKAPE/linear/Q2FZB1.pdb,
ESKAPE,linear,Q2FZB8,already_exists,existing,,,,structures/ESKAPE/linear/Q2FZB8.pdb,
ESKAPE,linear,Q2FZF0,already_exists,existing,,,,structures/ESKAPE/linear/Q2FZF0.pdb,
ESKAPE,linear,Q2FZK7,already_exists,existing,,,,structures/ESKAPE/linear/Q2FZK7.pdb,
ESKAPE,linear,Q2G010,already_exists,existing,,,,structures/ESKAPE/linear/Q2G010.pdb,
ESKAPE,linear,Q2G028,already_exists,existing,,,,structures/ESKAPE/linear/Q2G028.pdb,
ESKAPE,linear,Q2G032,already_exists,existing,,,,structures/ESKAPE/linear/Q2G032.pdb,
ESKAPE,linear,Q2G034,already_exists,existing,,,,structures/ESKAPE/linear/Q2G034.pdb,
ESKAPE,linear,Q2G155,already_exists,existing,,,,structures/ESKAPE/linear/Q2G155.pdb,
ESKAPE,linear,Q2G1E2,already_exists,existing,,,,structures/ESKAPE/linear/Q2G1E2.pdb,
ESKAPE,linear,Q2G1N0,already_exists,existing,,,,structures/ESKAPE/linear/Q2G1N0.pdb,
ESKAPE,linear,Q2G1X0,already_exists,existing,,,,structures/ESKAPE/linear/Q2G1X0.pdb,
