model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
DiscoTope,GAST,bacteria,linear,Q9PHW6,76,23,0.19298684210526315
DiscoTope,GAST,bacteria,linear,P18013,72,33,0.23805555555555558
DiscoTope,GAST,bacteria,linear,Q57193,31,18,0.29229032258064513
DiscoTope,GAST,bacteria,linear,P18012,27,22,0.6462962962962963
DiscoTope,GAST,bacteria,linear,P01555,27,7,0.1375185185185185
DiscoTope,GAST,bacteria,linear,P01556,26,14,0.30515384615384616
DiscoTope,GAST,bacteria,linear,P29485,23,10,0.26482608695652177
DiscoTope,GAST,bacteria,linear,Q60153,19,12,0.3004736842105263
DiscoTope,GAST,bacteria,linear,P56963,10,4,0.1234
DiscoTope,GAST,bacteria,linear,A0A0H3NA87,9,0,0.06077777777777777
DiscoTope,GAST,bacteria,linear,Q0P9X9,8,3,0.224875
DiscoTope,GAST,bacteria,linear,Q0PBH5,8,3,0.14550000000000002
DiscoTope,GAST,bacteria,linear,P18011,8,2,0.21725
DiscoTope,GAST,bacteria,linear,A0A0H3NCG3,7,6,0.35857142857142854
DiscoTope,GAST,bacteria,linear,P80672,6,0,0.049666666666666665
DiscoTope,GAST,bacteria,linear,A0A0H3NVD8,6,3,0.19966666666666666
DiscoTope,GAST,bacteria,linear,A0A0H3NBQ0,4,1,0.25
DiscoTope,GAST,bacteria,linear,Q9KPR1,3,0,0.0
DiscoTope,GAST,bacteria,linear,Q0PC24,2,1,0.131
DiscoTope,GAST,bacteria,linear,Q0PAK5,2,1,0.23650000000000002
DiscoTope,GAST,bacteria,linear,A0A0H3NJI9,2,2,0.5840000000000001
DiscoTope,GAST,bacteria,linear,Q08860,2,2,0.3395
DiscoTope,GAST,bacteria,linear,Q9KSD1,1,0,0.067
DiscoTope,GAST,bacteria,linear,A0A0H2VTE4,1,0,0.111
DiscoTope,GAST,bacteria,linear,Q0P8M9,1,1,0.333
DiscoTope,GAST,bacteria,linear,P0C6Q5,1,0,0.0
DiscoTope,GAST,bacteria,linear,F5NW60,1,0,0.0
DiscoTope,GAST,bacteria,linear,A0A2S4MYF8,1,0,0.0
DiscoTope,GAST,bacteria,linear,A0A0H3NWJ3,1,0,0.0
DiscoTope,GAST,bacteria,linear,A0A0H3NMJ6,1,0,0.0
DiscoTope,GAST,bacteria,linear,A0A0H3NKE0,1,0,0.083
DiscoTope,GAST,bacteria,linear,A0A0H3NG19,1,1,0.462
DiscoTope,GAST,bacteria,linear,A0A0H3NFG2,1,0,0.0
DiscoTope,GAST,bacteria,linear,Q9PPM0,1,1,0.179
