uniprot,protein_family,subcellular_raw,pfam,go,keywords
A0A0H2UN40,,,PF00746;PF11966;PF04650;,,Cell wall;Membrane;Peptidoglycan-anchor;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix
A0A0H2UNY9,,,,,Reference proteome
A0A0H2UPR0,,,PF04270;,,Reference proteome
A0A0H2UQ39,,,PF04270;,,Reference proteome
A0A0H2UQH5,EamA transporter family,SUBCELLULAR LOCATION: Endomembrane system {ECO:0000256|ARBA:ARBA00004127}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004127}.,PF00892;,GO:0012505; GO:0016020,3D-structure;Membrane;Reference proteome;Transmembrane;Transmembrane helix
A0A0H2UR84,ABC transporter superfamily,,PF00005;,GO:0005524; GO:0016887,ATP-binding;Nucleotide-binding;Reference proteome;Transport
A0A0H2US36,,,PF05257;PF19127;PF08460;,GO:0008745,Reference proteome;Repeat
A0A0H2US50,,,PF01473;PF19127;PF05062;PF04650;,,3D-structure;Reference proteome;Repeat;Signal
A0A0H3AUZ3,Omp25/RopB family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004442}.,PF13505;,GO:0009279,Cell outer membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
A0A0H3GGM3,"Peptidase M24B family, Bacterial-type prolidase subfamily",,PF21216;PF00557;,GO:0004177; GO:0005829; GO:0006508; GO:0008235; GO:0016795; GO:0046872; GO:0102009,Dipeptidase;Hydrolase;Manganese;Metal-binding;Metalloprotease;Protease;Reference proteome
A0A0H3GIG3,"Bacterial secretin family, GSP D subfamily","SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004442, ECO:0000256|RuleBase:RU004004}.",PF00263;PF03958;PF21305;,GO:0009279; GO:0015627; GO:0015628; GO:0042802,3D-structure;Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
A0A0H3GK81,Beta-lactamase family,,PF00144;,GO:0004180,Carboxypeptidase;Hydrolase;Protease;Reference proteome;Signal
A0A0H3GKL7,Monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,PF00999;PF02254;,GO:0006813; GO:0008324; GO:0015297; GO:0016020; GO:1902600,Antiport;Cell inner membrane;Cell membrane;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
A0A0H3GN17,Class-A beta-lactamase family,,PF13354;,GO:0008800; GO:0030655; GO:0046677,Antibiotic resistance;Disulfide bond;Hydrolase;Reference proteome;Signal
A0A0H3GNG3,Nucleoside-specific channel-forming outer membrane porin (Tsx) (TC 1.B.10) family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571}.,PF03502;,GO:0005337; GO:0009279,Cell outer membrane;Membrane;Receptor;Reference proteome;Signal
A0A0H3GP64,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.,PF01957;,GO:0005886,Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
A0A0H3GQ86,,,PF00005;,GO:0005524; GO:0016887,ATP-binding;Nucleotide-binding;Reference proteome
A0A0H3GSS7,,,PF00419;,GO:0009289; GO:0043709,Reference proteome;Signal
A0A0H3GWX4,L-fucose isomerase family,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_01254}.",PF02952;PF07881;PF07882;,GO:0005737; GO:0008736; GO:0008790; GO:0019571; GO:0030145; GO:0042355,Carbohydrate metabolism;Cytoplasm;Fucose metabolism;Isomerase;Manganese;Metal-binding;Reference proteome
