model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
GraphBepi,GAST,bacteria,linear,Q9PHW6,76,7,0.07375000000000001
GraphBepi,GAST,bacteria,linear,P18013,72,70,0.6453194444444444
GraphBepi,GAST,bacteria,linear,Q57193,31,30,0.8446451612903226
GraphBepi,GAST,bacteria,linear,P18012,27,27,0.8271481481481481
GraphBepi,GAST,bacteria,linear,P01555,27,24,0.47629629629629633
GraphBepi,GAST,bacteria,linear,P01556,26,26,0.7293846153846153
GraphBepi,GAST,bacteria,linear,P29485,23,23,0.8836086956521739
GraphBepi,GAST,bacteria,linear,Q60153,19,16,0.4347894736842105
GraphBepi,GAST,bacteria,linear,P56963,10,0,0.0233
GraphBepi,GAST,bacteria,linear,A0A0H3NA87,9,3,0.2058888888888889
GraphBepi,GAST,bacteria,linear,Q0PBH5,8,4,0.196875
GraphBepi,GAST,bacteria,linear,P18011,8,2,0.1735
GraphBepi,GAST,bacteria,linear,Q0P9X9,8,2,0.15837500000000002
GraphBepi,GAST,bacteria,linear,A0A0H3NCG3,7,5,0.24042857142857144
GraphBepi,GAST,bacteria,linear,A0A0H3NVD8,6,4,0.303
GraphBepi,GAST,bacteria,linear,P80672,6,0,0.0
GraphBepi,GAST,bacteria,linear,A0A0H3NBQ0,4,0,0.0
GraphBepi,GAST,bacteria,linear,Q9KPR1,3,0,0.0
GraphBepi,GAST,bacteria,linear,Q08860,2,2,0.3215
GraphBepi,GAST,bacteria,linear,A0A0H3NJI9,2,0,0.0
GraphBepi,GAST,bacteria,linear,Q0PC24,2,2,0.6045
GraphBepi,GAST,bacteria,linear,Q0PAK5,2,0,0.112
GraphBepi,GAST,bacteria,linear,Q9KSD1,1,0,0.0
GraphBepi,GAST,bacteria,linear,A0A0H3NFG2,1,0,0.0
GraphBepi,GAST,bacteria,linear,A0A0H3NG19,1,0,0.154
GraphBepi,GAST,bacteria,linear,A0A2S4MYF8,1,0,0.0
GraphBepi,GAST,bacteria,linear,Q0P8M9,1,0,0.2
GraphBepi,GAST,bacteria,linear,F5NW60,1,0,0.083
GraphBepi,GAST,bacteria,linear,A0A0H3NKE0,1,0,0.0
GraphBepi,GAST,bacteria,linear,A0A0H3NMJ6,1,0,0.0
GraphBepi,GAST,bacteria,linear,P0C6Q5,1,1,0.5
GraphBepi,GAST,bacteria,linear,A0A0H3NWJ3,1,1,0.917
GraphBepi,GAST,bacteria,linear,Q9PPM0,1,1,0.692
