model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
DiscoTope,INTRA,bacteria,linear,Q46409,425,287,0.46784705882352945
DiscoTope,INTRA,bacteria,linear,P38006,25,11,0.23751999999999998
DiscoTope,INTRA,bacteria,linear,P0C0Z7,18,7,0.1845
DiscoTope,INTRA,bacteria,linear,P21171,16,7,0.19675
DiscoTope,INTRA,bacteria,linear,P0CC04,11,9,0.5374545454545454
DiscoTope,INTRA,bacteria,linear,O84818,10,6,0.354
DiscoTope,INTRA,bacteria,linear,O84462,9,8,0.3681111111111111
DiscoTope,INTRA,bacteria,linear,P0A3U4,8,5,0.46225
DiscoTope,INTRA,bacteria,linear,P0A3U8,7,5,0.5175714285714286
DiscoTope,INTRA,bacteria,linear,P0DPS6,6,3,0.31366666666666665
DiscoTope,INTRA,bacteria,linear,O84534,6,4,0.3263333333333333
DiscoTope,INTRA,bacteria,linear,P13128,6,4,0.3841666666666667
DiscoTope,INTRA,bacteria,linear,O84419,5,5,0.6956
DiscoTope,INTRA,bacteria,linear,O84883,4,3,0.44975000000000004
DiscoTope,INTRA,bacteria,linear,O84623,4,2,0.29025
DiscoTope,INTRA,bacteria,linear,O84047,4,1,0.196
DiscoTope,INTRA,bacteria,linear,P26623,3,1,0.162
DiscoTope,INTRA,bacteria,linear,Q2YKV9,3,2,0.435
DiscoTope,INTRA,bacteria,linear,O84801,3,0,0.13433333333333333
DiscoTope,INTRA,bacteria,linear,H7C7D7,3,1,0.246
DiscoTope,INTRA,bacteria,linear,Q2YQH3,2,0,0.134
DiscoTope,INTRA,bacteria,linear,P0DJI4,2,1,0.156
DiscoTope,INTRA,bacteria,linear,P0CI27,2,2,0.22499999999999998
DiscoTope,INTRA,bacteria,linear,Q83DT1,2,2,0.43400000000000005
DiscoTope,INTRA,bacteria,linear,Q83EK8,2,1,0.532
DiscoTope,INTRA,bacteria,linear,Q8Y4I1,2,0,0.0
DiscoTope,INTRA,bacteria,linear,A0A0H3AUZ3,2,2,0.685
DiscoTope,INTRA,bacteria,linear,O84848,2,0,0.0
DiscoTope,INTRA,bacteria,linear,O84700,2,2,0.383
DiscoTope,INTRA,bacteria,linear,O84583,2,1,0.3335
DiscoTope,INTRA,bacteria,linear,O84243,2,2,0.5
DiscoTope,INTRA,bacteria,linear,O84819,2,0,0.05
DiscoTope,INTRA,bacteria,linear,O84145,2,0,0.1485
DiscoTope,INTRA,bacteria,linear,O84226,1,1,0.2
DiscoTope,INTRA,bacteria,linear,Q9AGE6,1,1,0.367
DiscoTope,INTRA,bacteria,linear,Q8YG56,1,1,0.146
DiscoTope,INTRA,bacteria,linear,Q8YE76,1,1,0.333
DiscoTope,INTRA,bacteria,linear,Q8Y863,1,1,0.406
DiscoTope,INTRA,bacteria,linear,O84025,1,1,0.5
DiscoTope,INTRA,bacteria,linear,Q8Y498,1,1,0.357
DiscoTope,INTRA,bacteria,linear,O84061,1,1,0.333
DiscoTope,INTRA,bacteria,linear,O84091,1,1,0.2
DiscoTope,INTRA,bacteria,linear,O84103,1,0,0.0
DiscoTope,INTRA,bacteria,linear,O84229,1,0,0.0
DiscoTope,INTRA,bacteria,linear,P64024,1,0,0.0
DiscoTope,INTRA,bacteria,linear,P51752,1,1,0.6
DiscoTope,INTRA,bacteria,linear,P33379,1,1,0.5
DiscoTope,INTRA,bacteria,linear,O84385,1,0,0.0
DiscoTope,INTRA,bacteria,linear,P18584,1,1,0.308
DiscoTope,INTRA,bacteria,linear,P17821,1,1,0.25
DiscoTope,INTRA,bacteria,linear,O84449,1,0,0.062
DiscoTope,INTRA,bacteria,linear,O84546,1,0,0.0
DiscoTope,INTRA,bacteria,linear,O84608,1,1,0.455
DiscoTope,INTRA,bacteria,linear,O84627,1,1,0.3
DiscoTope,INTRA,bacteria,linear,O84701,1,1,0.455
DiscoTope,INTRA,bacteria,linear,Q9S529,1,0,0.056
