model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
SEMA,INTRA,bacteria,linear,Q46409,425,351,0.6045176470588236
SEMA,INTRA,bacteria,linear,P38006,25,15,0.38884
SEMA,INTRA,bacteria,linear,P0C0Z7,18,12,0.4161111111111111
SEMA,INTRA,bacteria,linear,P21171,16,16,0.5415
SEMA,INTRA,bacteria,linear,P0CC04,11,11,0.8975454545454545
SEMA,INTRA,bacteria,linear,O84818,10,10,0.885
SEMA,INTRA,bacteria,linear,O84462,9,9,1.0
SEMA,INTRA,bacteria,linear,P0A3U4,8,6,0.5455
SEMA,INTRA,bacteria,linear,P0A3U8,7,7,0.6731428571428572
SEMA,INTRA,bacteria,linear,P0DPS6,6,6,0.8541666666666666
SEMA,INTRA,bacteria,linear,O84534,6,4,0.4291666666666667
SEMA,INTRA,bacteria,linear,P13128,6,5,0.6243333333333333
SEMA,INTRA,bacteria,linear,O84419,5,5,0.9865999999999999
SEMA,INTRA,bacteria,linear,O84883,4,4,0.5165
SEMA,INTRA,bacteria,linear,O84623,4,4,0.89975
SEMA,INTRA,bacteria,linear,O84047,4,4,0.68825
SEMA,INTRA,bacteria,linear,P26623,3,2,0.3006666666666667
SEMA,INTRA,bacteria,linear,Q2YKV9,3,3,0.7153333333333333
SEMA,INTRA,bacteria,linear,O84801,3,2,0.5626666666666666
SEMA,INTRA,bacteria,linear,H7C7D7,3,3,0.657
SEMA,INTRA,bacteria,linear,Q2YQH3,2,2,0.482
SEMA,INTRA,bacteria,linear,P0DJI4,2,2,0.675
SEMA,INTRA,bacteria,linear,P0CI27,2,2,0.9
SEMA,INTRA,bacteria,linear,Q83DT1,2,2,1.0
SEMA,INTRA,bacteria,linear,Q83EK8,2,2,0.654
SEMA,INTRA,bacteria,linear,Q8Y4I1,2,0,0.136
SEMA,INTRA,bacteria,linear,A0A0H3AUZ3,2,2,0.5269999999999999
SEMA,INTRA,bacteria,linear,O84848,2,0,0.05
SEMA,INTRA,bacteria,linear,O84700,2,2,1.0
SEMA,INTRA,bacteria,linear,O84583,2,2,0.7
SEMA,INTRA,bacteria,linear,O84243,2,2,1.0
SEMA,INTRA,bacteria,linear,O84819,2,1,0.3
SEMA,INTRA,bacteria,linear,O84145,2,2,0.9545
SEMA,INTRA,bacteria,linear,O84226,1,1,1.0
SEMA,INTRA,bacteria,linear,Q9AGE6,1,1,0.4
SEMA,INTRA,bacteria,linear,Q8YG56,1,1,0.463
SEMA,INTRA,bacteria,linear,Q8YE76,1,1,1.0
SEMA,INTRA,bacteria,linear,Q8Y863,1,1,0.812
SEMA,INTRA,bacteria,linear,O84025,1,1,0.8
SEMA,INTRA,bacteria,linear,Q8Y498,1,1,0.5
SEMA,INTRA,bacteria,linear,O84061,1,1,0.733
SEMA,INTRA,bacteria,linear,O84091,1,1,0.8
SEMA,INTRA,bacteria,linear,O84103,1,1,0.6
SEMA,INTRA,bacteria,linear,O84229,1,1,0.767
SEMA,INTRA,bacteria,linear,P64024,1,0,0.0
SEMA,INTRA,bacteria,linear,P51752,1,1,0.933
SEMA,INTRA,bacteria,linear,P33379,1,1,0.6
SEMA,INTRA,bacteria,linear,O84385,1,1,1.0
SEMA,INTRA,bacteria,linear,P18584,1,1,0.308
SEMA,INTRA,bacteria,linear,P17821,1,0,0.0
SEMA,INTRA,bacteria,linear,O84449,1,1,0.438
SEMA,INTRA,bacteria,linear,O84546,1,1,0.3
SEMA,INTRA,bacteria,linear,O84608,1,1,0.455
SEMA,INTRA,bacteria,linear,O84627,1,0,0.0
SEMA,INTRA,bacteria,linear,O84701,1,1,1.0
SEMA,INTRA,bacteria,linear,Q9S529,1,1,1.0
