model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall,mean_precision
ElliPro,ESKAPE,bacteria,conformational,P11439,29,23,0.5964137931034482,0.0054482758620689655
ElliPro,ESKAPE,bacteria,conformational,Q2FZF0,23,16,0.5484782608695652,0.012739130434782609
ElliPro,ESKAPE,bacteria,conformational,Q2FWV3,12,9,0.6444166666666666,0.0205
ElliPro,ESKAPE,bacteria,conformational,Q2FXX5,10,9,0.4981,0.056499999999999995
ElliPro,ESKAPE,bacteria,conformational,Q2G1K8,6,3,0.5,0.005
ElliPro,ESKAPE,bacteria,conformational,Q2G2D8,4,4,0.87975,0.07350000000000001
ElliPro,ESKAPE,bacteria,conformational,G3XD49,3,3,1.0,0.07333333333333333
ElliPro,ESKAPE,bacteria,conformational,Q2G015,2,0,0.0,0.0
ElliPro,ESKAPE,bacteria,conformational,Q2G032,2,2,0.525,0.015
ElliPro,ESKAPE,bacteria,conformational,Q2G0A2,2,2,0.2685,0.047
ElliPro,ESKAPE,bacteria,conformational,Q2G1X0,2,2,0.7925,0.08349999999999999
ElliPro,ESKAPE,bacteria,conformational,Q2FZB1,1,1,0.333,0.009
ElliPro,ESKAPE,bacteria,conformational,Q2FWP0,1,1,1.0,0.065
ElliPro,ESKAPE,bacteria,conformational,Q2G010,1,1,0.111,0.018
ElliPro,ESKAPE,bacteria,conformational,P35818,1,1,1.0,0.037
ElliPro,ESKAPE,bacteria,conformational,P13794,1,1,0.833,0.059
ElliPro,ESKAPE,bacteria,conformational,Q9I6J0,1,1,0.8,0.072
