model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
ElliPro,GAST,bacteria,linear,Q9PHW6,76,47,0.4991052631578948
ElliPro,GAST,bacteria,linear,P18013,72,59,0.5713472222222222
ElliPro,GAST,bacteria,linear,Q57193,31,26,0.4943548387096774
ElliPro,GAST,bacteria,linear,P18012,27,22,0.7493333333333333
ElliPro,GAST,bacteria,linear,P01555,27,18,0.4290740740740741
ElliPro,GAST,bacteria,linear,P01556,26,23,0.5202307692307693
ElliPro,GAST,bacteria,linear,P29485,23,16,0.4398260869565217
ElliPro,GAST,bacteria,linear,Q60153,19,17,0.5491578947368421
ElliPro,GAST,bacteria,linear,P56963,10,7,0.44989999999999997
ElliPro,GAST,bacteria,linear,A0A0H3NA87,9,4,0.27544444444444444
ElliPro,GAST,bacteria,linear,Q0P9X9,8,8,0.641625
ElliPro,GAST,bacteria,linear,Q0PBH5,8,6,0.390375
ElliPro,GAST,bacteria,linear,P18011,8,4,0.43
ElliPro,GAST,bacteria,linear,A0A0H3NCG3,7,6,0.7622857142857143
ElliPro,GAST,bacteria,linear,P80672,6,6,0.5926666666666667
ElliPro,GAST,bacteria,linear,A0A0H3NVD8,6,5,0.6789999999999999
ElliPro,GAST,bacteria,linear,A0A0H3NBQ0,4,4,0.7502500000000001
ElliPro,GAST,bacteria,linear,Q9KPR1,3,1,0.29033333333333333
ElliPro,GAST,bacteria,linear,Q0PC24,2,2,0.6675
ElliPro,GAST,bacteria,linear,Q0PAK5,2,0,0.079
ElliPro,GAST,bacteria,linear,A0A0H3NJI9,2,2,0.6685
ElliPro,GAST,bacteria,linear,Q08860,2,2,0.875
ElliPro,GAST,bacteria,linear,Q9KSD1,1,0,0.133
ElliPro,GAST,bacteria,linear,A0A0H2VTE4,1,1,0.889
ElliPro,GAST,bacteria,linear,Q0P8M9,1,0,0.133
ElliPro,GAST,bacteria,linear,P0C6Q5,1,0,0.0
ElliPro,GAST,bacteria,linear,F5NW60,1,1,0.417
ElliPro,GAST,bacteria,linear,A0A2S4MYF8,1,1,0.333
ElliPro,GAST,bacteria,linear,A0A0H3NWJ3,1,1,0.667
ElliPro,GAST,bacteria,linear,A0A0H3NMJ6,1,1,1.0
ElliPro,GAST,bacteria,linear,A0A0H3NKE0,1,0,0.083
ElliPro,GAST,bacteria,linear,A0A0H3NG19,1,1,1.0
ElliPro,GAST,bacteria,linear,A0A0H3NFG2,1,0,0.0
ElliPro,GAST,bacteria,linear,Q9PPM0,1,1,0.846
