model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
ElliPro,ESKAPE,bacteria,linear,Q2FXX5,65,45,0.43852307692307696
ElliPro,ESKAPE,bacteria,linear,Q2G1X0,58,42,0.4385689655172414
ElliPro,ESKAPE,bacteria,linear,P13794,45,37,0.6632444444444444
ElliPro,ESKAPE,bacteria,linear,Q2FYP2,40,20,0.35685
ElliPro,ESKAPE,bacteria,linear,P14738,39,27,0.43010256410256414
ElliPro,ESKAPE,bacteria,linear,P11439,25,20,0.53032
ElliPro,ESKAPE,bacteria,linear,Q2FZF0,20,18,0.8274000000000001
ElliPro,ESKAPE,bacteria,linear,A0A0H3GNG3,19,14,0.3591578947368421
ElliPro,ESKAPE,bacteria,linear,P04739,14,12,0.46085714285714285
ElliPro,ESKAPE,bacteria,linear,Q2G2Y0,11,8,0.4872727272727273
ElliPro,ESKAPE,bacteria,linear,Q2G2D8,9,4,0.33222222222222225
ElliPro,ESKAPE,bacteria,linear,A0A0H3GN17,8,6,0.5525
ElliPro,ESKAPE,bacteria,linear,Q2FVK2,8,7,0.69675
ElliPro,ESKAPE,bacteria,linear,A0A0H3GK81,7,3,0.3177142857142857
ElliPro,ESKAPE,bacteria,linear,A0A0H3GKL7,6,6,0.5726666666666667
ElliPro,ESKAPE,bacteria,linear,Q3XYW0,6,2,0.1445
ElliPro,ESKAPE,bacteria,linear,Q53682,4,4,0.908
ElliPro,ESKAPE,bacteria,linear,Q2FZB1,4,3,0.41200000000000003
ElliPro,ESKAPE,bacteria,linear,A0A0H3GQ86,4,4,0.36275
ElliPro,ESKAPE,bacteria,linear,Q2FWP0,3,3,0.426
ElliPro,ESKAPE,bacteria,linear,Q2FWM6,3,1,0.14666666666666667
ElliPro,ESKAPE,bacteria,linear,Q2FXB0,3,1,0.21233333333333335
ElliPro,ESKAPE,bacteria,linear,A0A0H3GP64,3,2,0.5333333333333333
ElliPro,ESKAPE,bacteria,linear,A0A0H3GGM3,2,2,0.65
ElliPro,ESKAPE,bacteria,linear,P14756,2,1,0.389
ElliPro,ESKAPE,bacteria,linear,P0A074,2,0,0.0455
ElliPro,ESKAPE,bacteria,linear,Q2FZ94,2,2,0.458
ElliPro,ESKAPE,bacteria,linear,Q2G032,2,1,0.5
ElliPro,ESKAPE,bacteria,linear,A0A0H3GSS7,2,2,0.475
ElliPro,ESKAPE,bacteria,linear,Q2G2G6,1,0,0.0
ElliPro,ESKAPE,bacteria,linear,A0A0H3GWX4,1,0,0.0
ElliPro,ESKAPE,bacteria,linear,Q2G2B2,1,0,0.0
ElliPro,ESKAPE,bacteria,linear,Q2G028,1,1,0.778
ElliPro,ESKAPE,bacteria,linear,A0A0H3GX94,1,1,1.0
ElliPro,ESKAPE,bacteria,linear,Q2G1N0,1,1,0.471
ElliPro,ESKAPE,bacteria,linear,Q2G2Q0,1,1,0.412
ElliPro,ESKAPE,bacteria,linear,Q2G1E2,1,1,0.565
ElliPro,ESKAPE,bacteria,linear,Q2G2W1,1,0,0.2
ElliPro,ESKAPE,bacteria,linear,Q2G155,1,1,1.0
ElliPro,ESKAPE,bacteria,linear,Q2G034,1,1,0.327
ElliPro,ESKAPE,bacteria,linear,Q2G282,1,1,0.812
ElliPro,ESKAPE,bacteria,linear,Q2FVI5,1,1,0.7
ElliPro,ESKAPE,bacteria,linear,Q2G010,1,1,0.909
ElliPro,ESKAPE,bacteria,linear,Q2FUY2,1,1,1.0
ElliPro,ESKAPE,bacteria,linear,G3XD49,1,0,0.0
ElliPro,ESKAPE,bacteria,linear,Q2FZB8,1,1,0.286
ElliPro,ESKAPE,bacteria,linear,Q2FZ93,1,1,0.5
ElliPro,ESKAPE,bacteria,linear,Q2FY60,1,1,0.75
ElliPro,ESKAPE,bacteria,linear,P30718,1,1,1.0
ElliPro,ESKAPE,bacteria,linear,Q2FXN2,1,1,0.577
ElliPro,ESKAPE,bacteria,linear,Q2FXJ6,1,1,1.0
ElliPro,ESKAPE,bacteria,linear,A0A0H3GIG3,1,1,0.562
ElliPro,ESKAPE,bacteria,linear,Q2FXA5,1,1,0.917
ElliPro,ESKAPE,bacteria,linear,Q06579,1,1,0.6
ElliPro,ESKAPE,bacteria,linear,Q2FWN4,1,1,0.5
ElliPro,ESKAPE,bacteria,linear,Q2FUX4,1,1,0.778
ElliPro,ESKAPE,bacteria,linear,Q2FWC4,1,1,0.7
ElliPro,ESKAPE,bacteria,linear,Q2FZK7,1,1,0.684
