model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
GraphBepi,ESKAPE,bacteria,linear,Q2FXX5,65,52,0.37681538461538466
GraphBepi,ESKAPE,bacteria,linear,Q2G1X0,58,1,0.03555172413793104
GraphBepi,ESKAPE,bacteria,linear,P13794,45,15,0.17224444444444442
GraphBepi,ESKAPE,bacteria,linear,Q2FYP2,40,4,0.098075
GraphBepi,ESKAPE,bacteria,linear,P14738,39,0,0.0
GraphBepi,ESKAPE,bacteria,linear,P11439,25,6,0.15439999999999998
GraphBepi,ESKAPE,bacteria,linear,Q2FZF0,20,0,0.0
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GNG3,19,0,0.017526315789473685
GraphBepi,ESKAPE,bacteria,linear,P04739,14,13,0.5013571428571428
GraphBepi,ESKAPE,bacteria,linear,Q2G2Y0,11,2,0.06618181818181817
GraphBepi,ESKAPE,bacteria,linear,Q2G2D8,9,2,0.14755555555555555
GraphBepi,ESKAPE,bacteria,linear,Q2FVK2,8,6,0.349875
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GN17,8,2,0.19125
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GK81,7,0,0.033
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GKL7,6,0,0.0375
GraphBepi,ESKAPE,bacteria,linear,Q3XYW0,6,1,0.06666666666666667
GraphBepi,ESKAPE,bacteria,linear,Q2FZB1,4,1,0.2175
GraphBepi,ESKAPE,bacteria,linear,Q53682,4,0,0.0
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GQ86,4,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FWM6,3,3,0.5873333333333334
GraphBepi,ESKAPE,bacteria,linear,Q2FXB0,3,0,0.0
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GP64,3,3,0.5333333333333333
GraphBepi,ESKAPE,bacteria,linear,Q2FWP0,3,0,0.018666666666666668
GraphBepi,ESKAPE,bacteria,linear,Q2G032,2,0,0.0625
GraphBepi,ESKAPE,bacteria,linear,Q2FZ94,2,0,0.0
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GGM3,2,1,0.24000000000000002
GraphBepi,ESKAPE,bacteria,linear,P0A074,2,0,0.0
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GSS7,2,0,0.0
GraphBepi,ESKAPE,bacteria,linear,P14756,2,1,0.389
GraphBepi,ESKAPE,bacteria,linear,Q2FWN4,1,0,0.1
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GWX4,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2G2W1,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2G2Q0,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2G2G6,1,0,0.08
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GX94,1,1,0.333
GraphBepi,ESKAPE,bacteria,linear,Q2G282,1,1,0.75
GraphBepi,ESKAPE,bacteria,linear,G3XD49,1,1,0.5
GraphBepi,ESKAPE,bacteria,linear,Q2G1N0,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2G1E2,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2G155,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2G034,1,1,0.49
GraphBepi,ESKAPE,bacteria,linear,Q2G028,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FWC4,1,0,0.05
GraphBepi,ESKAPE,bacteria,linear,Q2G010,1,1,0.364
GraphBepi,ESKAPE,bacteria,linear,Q2FZB8,1,1,0.5
GraphBepi,ESKAPE,bacteria,linear,P30718,1,0,0.1
GraphBepi,ESKAPE,bacteria,linear,Q06579,1,1,0.933
GraphBepi,ESKAPE,bacteria,linear,Q2FZ93,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FUX4,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FY60,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FUY2,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FXN2,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FXJ6,1,0,0.235
GraphBepi,ESKAPE,bacteria,linear,Q2FVI5,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,A0A0H3GIG3,1,0,0.0
GraphBepi,ESKAPE,bacteria,linear,Q2FXA5,1,0,0.167
