model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
BepiPred,RESP,bacteria,linear,P14283,124,0,0.0
BepiPred,RESP,bacteria,linear,P9WQP1,78,8,0.06343589743589743
BepiPred,RESP,bacteria,linear,P10324,76,37,0.2879605263157895
BepiPred,RESP,bacteria,linear,P9WMJ9,67,0,0.0
BepiPred,RESP,bacteria,linear,P9WPE7,65,3,0.027953846153846156
BepiPred,RESP,bacteria,linear,P0A3R5,62,62,0.857241935483871
BepiPred,RESP,bacteria,linear,P9WPE5,55,43,0.5468545454545455
BepiPred,RESP,bacteria,linear,P43839,51,20,0.2605882352941176
BepiPred,RESP,bacteria,linear,P04977,48,21,0.35720833333333335
BepiPred,RESP,bacteria,linear,A0A0H2UMZ8,47,0,0.0
BepiPred,RESP,bacteria,linear,P9WGU1,35,5,0.08074285714285714
BepiPred,RESP,bacteria,linear,P9WNF5,30,21,0.42883333333333334
BepiPred,RESP,bacteria,linear,P9WNK7,23,22,0.5502173913043479
BepiPred,RESP,bacteria,linear,P12255,23,0,0.0
BepiPred,RESP,bacteria,linear,P04979,23,20,0.6363043478260869
BepiPred,RESP,bacteria,linear,P9WNK5,22,22,0.7063181818181818
BepiPred,RESP,bacteria,linear,P43838,19,12,0.3258421052631579
BepiPred,RESP,bacteria,linear,P05788,19,15,0.6322631578947369
BepiPred,RESP,bacteria,linear,P9WK61,18,16,0.6856666666666666
BepiPred,RESP,bacteria,linear,P17835,17,12,0.6088235294117647
BepiPred,RESP,bacteria,linear,P9WMK1,17,6,0.2625294117647059
BepiPred,RESP,bacteria,linear,P04978,15,15,0.8438
BepiPred,RESP,bacteria,linear,P9WJE1,13,3,0.15
BepiPred,RESP,bacteria,linear,Q79GX8,13,11,0.861076923076923
BepiPred,RESP,bacteria,linear,P9WHZ5,12,0,0.0
BepiPred,RESP,bacteria,linear,I6Y293,11,2,0.05454545454545456
BepiPred,RESP,bacteria,linear,P9WQF3,10,9,0.6849000000000001
BepiPred,RESP,bacteria,linear,P9WIN9,10,3,0.24779999999999996
BepiPred,RESP,bacteria,linear,P0C2J9,10,4,0.2143
BepiPred,RESP,bacteria,linear,I6Y231,10,0,0.0
BepiPred,RESP,bacteria,linear,Q6MWX9,10,0,0.0
BepiPred,RESP,bacteria,linear,A0A0H2US50,9,1,0.03177777777777777
BepiPred,RESP,bacteria,linear,P9WJD3,8,0,0.0
BepiPred,RESP,bacteria,linear,P9WGT9,8,3,0.15837500000000002
BepiPred,RESP,bacteria,linear,Q06282,8,3,0.110875
BepiPred,RESP,bacteria,linear,P43840,8,8,0.670625
BepiPred,RESP,bacteria,linear,P9WGY9,7,0,0.0
BepiPred,RESP,bacteria,linear,P9WJD9,6,0,0.022166666666666668
BepiPred,RESP,bacteria,linear,P43926,6,0,0.0
BepiPred,RESP,bacteria,linear,P96402,6,0,0.0
BepiPred,RESP,bacteria,linear,P9WIP1,6,6,0.48900000000000005
BepiPred,RESP,bacteria,linear,I6Y7L4,6,0,0.0
BepiPred,RESP,bacteria,linear,P9WQP3,6,1,0.09999999999999999
BepiPred,RESP,bacteria,linear,P9WK17,6,0,0.0
