model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
BepiPred,GAST,bacteria,linear,Q9PHW6,76,2,0.01492105263157895
BepiPred,GAST,bacteria,linear,P18013,72,48,0.5081111111111112
BepiPred,GAST,bacteria,linear,Q57193,31,29,0.8456774193548388
BepiPred,GAST,bacteria,linear,P18012,27,23,0.6937777777777777
BepiPred,GAST,bacteria,linear,P01555,27,18,0.46985185185185185
BepiPred,GAST,bacteria,linear,P01556,26,22,0.7401923076923077
BepiPred,GAST,bacteria,linear,P29485,23,9,0.30178260869565215
BepiPred,GAST,bacteria,linear,Q60153,19,18,0.776421052631579
BepiPred,GAST,bacteria,linear,P56963,10,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NA87,9,0,0.0
BepiPred,GAST,bacteria,linear,Q0P9X9,8,1,0.066625
BepiPred,GAST,bacteria,linear,Q0PBH5,8,2,0.18375
BepiPred,GAST,bacteria,linear,P18011,8,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NCG3,7,0,0.0
BepiPred,GAST,bacteria,linear,P80672,6,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NVD8,6,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NBQ0,4,1,0.25
BepiPred,GAST,bacteria,linear,Q9KPR1,3,0,0.0
BepiPred,GAST,bacteria,linear,Q0PC24,2,2,0.42
BepiPred,GAST,bacteria,linear,Q0PAK5,2,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NJI9,2,2,0.8420000000000001
BepiPred,GAST,bacteria,linear,Q08860,2,0,0.0
BepiPred,GAST,bacteria,linear,Q9KSD1,1,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H2VTE4,1,0,0.0
BepiPred,GAST,bacteria,linear,Q0P8M9,1,0,0.0
BepiPred,GAST,bacteria,linear,P0C6Q5,1,1,1.0
BepiPred,GAST,bacteria,linear,F5NW60,1,1,0.25
BepiPred,GAST,bacteria,linear,A0A2S4MYF8,1,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NWJ3,1,1,0.583
BepiPred,GAST,bacteria,linear,A0A0H3NMJ6,1,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NKE0,1,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NG19,1,0,0.0
BepiPred,GAST,bacteria,linear,A0A0H3NFG2,1,0,0.0
BepiPred,GAST,bacteria,linear,Q9PPM0,1,1,0.231
