model,organism,organism_name,group,type,iedb_id,uniprot,start,end,epitope_len,predicted_hits,recall,hit_abs,hit_rel,hit,threshold,K_abs,P_rel,out_of_range,reason
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,121,P11439,369,388,20,8.0,0.4,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,571,P04739,127,143,17,15.0,0.882,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,868,P11439,1,16,16,16.0,1.0,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,953,P13794,332,342,11,5.0,0.455,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,2040,P13794,336,342,7,1.0,0.143,False,False,False,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,2052,P11439,595,614,20,14.0,0.7,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Staphylococcus aureus,bacteria,linear,2309,Q2FYP2,357,365,9,0.0,0.0,False,False,False,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,2809,P11439,621,634,14,7.0,0.5,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Staphylococcus aureus,bacteria,linear,3972,Q2FXX5,225,244,20,,,,,,0.51,5,0.25,True,end_pos_exceeds_pred_len(244>234)
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,7559,P04739,144,150,7,,,,,,0.51,5,0.25,True,end_pos_exceeds_pred_len(150>149)
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,8132,P04739,134,140,18,6.0,0.333,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Pseudomonas aeruginosa,bacteria,linear,8133,P04739,134,140,7,6.0,0.857,True,True,True,0.51,5,0.25,False,
SEMA,ESKAPE,Klebsiella pneumoniae,bacteria,linear,8139,A0A0H3GN17,84,96,13,13.0,1.0,True,True,True,0.51,5,0.25,False,
