model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
BepiPred,ESKAPE,bacteria,linear,Q2FXX5,65,65,0.9369384615384615
BepiPred,ESKAPE,bacteria,linear,Q2G1X0,58,23,0.2653103448275862
BepiPred,ESKAPE,bacteria,linear,P13794,45,9,0.14337777777777777
BepiPred,ESKAPE,bacteria,linear,Q2FYP2,40,0,0.0
BepiPred,ESKAPE,bacteria,linear,P14738,39,0,0.0
BepiPred,ESKAPE,bacteria,linear,P11439,25,3,0.05284
BepiPred,ESKAPE,bacteria,linear,Q2FZF0,20,13,0.41594999999999993
BepiPred,ESKAPE,bacteria,linear,A0A0H3GNG3,19,3,0.11226315789473684
BepiPred,ESKAPE,bacteria,linear,P04739,14,12,0.7827142857142857
BepiPred,ESKAPE,bacteria,linear,A0ABX6CM31,13,3,0.17069230769230773
BepiPred,ESKAPE,bacteria,linear,Q2G2Y0,11,10,0.8925454545454545
BepiPred,ESKAPE,bacteria,linear,Q2G2D8,9,2,0.16833333333333333
BepiPred,ESKAPE,bacteria,linear,Q2FVK2,8,6,0.62375
BepiPred,ESKAPE,bacteria,linear,A0A0H3GN17,8,0,0.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GK81,7,2,0.19785714285714287
BepiPred,ESKAPE,bacteria,linear,A0ABX6CC62,7,1,0.020857142857142855
BepiPred,ESKAPE,bacteria,linear,Q3XYW0,6,0,0.022166666666666668
BepiPred,ESKAPE,bacteria,linear,A0A0H3GKL7,6,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q53682,4,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FZB1,4,4,1.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GQ86,4,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FXB0,3,0,0.06066666666666667
BepiPred,ESKAPE,bacteria,linear,Q2FWM6,3,3,0.5873333333333334
BepiPred,ESKAPE,bacteria,linear,Q2FWP0,3,1,0.12966666666666668
BepiPred,ESKAPE,bacteria,linear,A0ABX6CCP4,3,0,0.044333333333333336
BepiPred,ESKAPE,bacteria,linear,A0A0H3GP64,3,0,0.0
BepiPred,ESKAPE,bacteria,linear,P14756,2,0,0.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GSS7,2,1,0.35000000000000003
BepiPred,ESKAPE,bacteria,linear,Q2G032,2,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FZ94,2,0,0.0
BepiPred,ESKAPE,bacteria,linear,P0A074,2,0,0.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GGM3,2,0,0.0
BepiPred,ESKAPE,bacteria,linear,P30718,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G034,1,1,0.408
BepiPred,ESKAPE,bacteria,linear,Q2FUX4,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FWC4,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G2W1,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G2Q0,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G2G6,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GWX4,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G2B2,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G282,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GX94,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G1N0,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G1E2,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G155,1,1,1.0
BepiPred,ESKAPE,bacteria,linear,Q06579,1,1,1.0
BepiPred,ESKAPE,bacteria,linear,Q2FXJ6,1,1,0.588
BepiPred,ESKAPE,bacteria,linear,Q2G028,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2G010,1,1,0.818
BepiPred,ESKAPE,bacteria,linear,Q2FZK7,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FVI5,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FZB8,1,1,0.429
BepiPred,ESKAPE,bacteria,linear,G3XD49,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FWN4,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FZ93,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,A0A0H3GIG3,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FY60,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FXA5,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FXN2,1,0,0.0
BepiPred,ESKAPE,bacteria,linear,Q2FUY2,1,0,0.0
