organism,dataset_type,uniprot_id,download_status,source,alphafold_version,structure_id,download_url,structure_path,error
GAST,linear,A0A0H2VTE4,downloaded,AlphaFold,v6,AF-A0A0H2VTE4-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2VTE4-F1-model_v6.pdb,structures/GAST/linear/A0A0H2VTE4.pdb,
GAST,linear,A0A0H3NA87,downloaded,AlphaFold,v6,AF-A0A0H3NA87-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NA87-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NA87.pdb,
GAST,linear,A0A0H3NBQ0,downloaded,AlphaFold,v6,AF-A0A0H3NBQ0-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NBQ0-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NBQ0.pdb,
GAST,linear,A0A0H3NCG3,downloaded,AlphaFold,v6,AF-A0A0H3NCG3-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NCG3-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NCG3.pdb,
GAST,linear,A0A0H3NFG2,downloaded,AlphaFold,v6,AF-A0A0H3NFG2-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NFG2-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NFG2.pdb,
GAST,linear,A0A0H3NG19,downloaded,AlphaFold,v6,AF-A0A0H3NG19-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NG19-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NG19.pdb,
GAST,linear,A0A0H3NJI9,downloaded,AlphaFold,v6,AF-A0A0H3NJI9-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NJI9-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NJI9.pdb,
GAST,linear,A0A0H3NKE0,downloaded,AlphaFold,v6,AF-A0A0H3NKE0-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NKE0-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NKE0.pdb,
GAST,linear,A0A0H3NMJ6,downloaded,AlphaFold,v6,AF-A0A0H3NMJ6-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NMJ6-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NMJ6.pdb,
GAST,linear,A0A0H3NVD8,downloaded,AlphaFold,v6,AF-A0A0H3NVD8-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NVD8-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NVD8.pdb,
GAST,linear,A0A0H3NWJ3,downloaded,AlphaFold,v6,AF-A0A0H3NWJ3-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3NWJ3-F1-model_v6.pdb,structures/GAST/linear/A0A0H3NWJ3.pdb,
GAST,linear,A0A2S4MYF8,downloaded,AlphaFold,v6,AF-A0A2S4MYF8-F1,https://alphafold.ebi.ac.uk/files/AF-A0A2S4MYF8-F1-model_v6.pdb,structures/GAST/linear/A0A2S4MYF8.pdb,
GAST,linear,F5NW60,downloaded,AlphaFold,v6,AF-F5NW60-F1,https://alphafold.ebi.ac.uk/files/AF-F5NW60-F1-model_v6.pdb,structures/GAST/linear/F5NW60.pdb,
GAST,linear,P01555,downloaded,AlphaFold,v6,AF-P01555-F1,https://alphafold.ebi.ac.uk/files/AF-P01555-F1-model_v6.pdb,structures/GAST/linear/P01555.pdb,
GAST,linear,P01556,downloaded,AlphaFold,v6,AF-P01556-F1,https://alphafold.ebi.ac.uk/files/AF-P01556-F1-model_v6.pdb,structures/GAST/linear/P01556.pdb,
GAST,linear,P0C6Q5,downloaded,AlphaFold,v6,AF-P0C6Q5-F1,https://alphafold.ebi.ac.uk/files/AF-P0C6Q5-F1-model_v6.pdb,structures/GAST/linear/P0C6Q5.pdb,
GAST,linear,P18011,downloaded,AlphaFold,v6,AF-P18011-F1,https://alphafold.ebi.ac.uk/files/AF-P18011-F1-model_v6.pdb,structures/GAST/linear/P18011.pdb,
GAST,linear,P18012,downloaded,AlphaFold,v6,AF-P18012-F1,https://alphafold.ebi.ac.uk/files/AF-P18012-F1-model_v6.pdb,structures/GAST/linear/P18012.pdb,
GAST,linear,P18013,downloaded,AlphaFold,v6,AF-P18013-F1,https://alphafold.ebi.ac.uk/files/AF-P18013-F1-model_v6.pdb,structures/GAST/linear/P18013.pdb,
GAST,linear,P29485,downloaded,AlphaFold,v6,AF-P29485-F1,https://alphafold.ebi.ac.uk/files/AF-P29485-F1-model_v6.pdb,structures/GAST/linear/P29485.pdb,
GAST,linear,P56963,downloaded,AlphaFold,v6,AF-P56963-F1,https://alphafold.ebi.ac.uk/files/AF-P56963-F1-model_v6.pdb,structures/GAST/linear/P56963.pdb,
GAST,linear,P80672,downloaded,AlphaFold,v6,AF-P80672-F1,https://alphafold.ebi.ac.uk/files/AF-P80672-F1-model_v6.pdb,structures/GAST/linear/P80672.pdb,
