model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
SEMA,RESP,bacteria,linear,P14283,124,97,0.5697177419354839
SEMA,RESP,bacteria,linear,P9WQP1,78,62,0.4906410256410257
SEMA,RESP,bacteria,linear,P10324,76,76,0.6854210526315789
SEMA,RESP,bacteria,linear,P9WMJ9,67,67,0.7817164179104478
SEMA,RESP,bacteria,linear,P9WPE7,65,43,0.39753846153846156
SEMA,RESP,bacteria,linear,P0A3R5,62,62,0.6965967741935484
SEMA,RESP,bacteria,linear,P9WPE5,55,54,0.5778727272727273
SEMA,RESP,bacteria,linear,P43839,51,51,0.6652745098039216
SEMA,RESP,bacteria,linear,P04977,48,39,0.5500625
SEMA,RESP,bacteria,linear,A0A0H2UMZ8,47,37,0.670468085106383
SEMA,RESP,bacteria,linear,P9WGU1,35,28,0.4187142857142857
SEMA,RESP,bacteria,linear,P9WNF5,32,29,0.70359375
SEMA,RESP,bacteria,linear,P04979,23,22,0.5783478260869565
SEMA,RESP,bacteria,linear,P9WNK7,23,23,0.8756086956521739
SEMA,RESP,bacteria,linear,P9WNK5,22,22,0.775
SEMA,RESP,bacteria,linear,P43838,19,18,0.5421052631578948
SEMA,RESP,bacteria,linear,P05788,19,18,0.6961052631578947
SEMA,RESP,bacteria,linear,P9WK61,18,18,0.685
SEMA,RESP,bacteria,linear,P9WMK1,17,16,0.632
SEMA,RESP,bacteria,linear,P17835,17,16,0.7635294117647059
SEMA,RESP,bacteria,linear,P04978,15,15,0.5879333333333333
SEMA,RESP,bacteria,linear,Q79GX8,13,13,1.0
SEMA,RESP,bacteria,linear,P9WJE1,13,10,0.6192307692307693
SEMA,RESP,bacteria,linear,P9WHZ5,12,8,0.2714166666666667
SEMA,RESP,bacteria,linear,P0C2J9,11,11,0.7137272727272728
SEMA,RESP,bacteria,linear,I6Y293,11,6,0.3130909090909091
SEMA,RESP,bacteria,linear,I6Y231,10,7,0.5467000000000001
SEMA,RESP,bacteria,linear,P9WIN9,10,10,0.6945
SEMA,RESP,bacteria,linear,P9WQF3,10,10,0.807
SEMA,RESP,bacteria,linear,A0A0H2US50,9,8,0.7358888888888889
SEMA,RESP,bacteria,linear,P9WJD3,8,7,0.783375
SEMA,RESP,bacteria,linear,P9WGT9,8,7,0.5583750000000001
SEMA,RESP,bacteria,linear,P43840,8,8,0.627875
SEMA,RESP,bacteria,linear,Q06282,8,7,0.538125
SEMA,RESP,bacteria,linear,P9WGY9,7,5,0.5904285714285714
SEMA,RESP,bacteria,linear,P9WIP1,6,6,0.5553333333333333
SEMA,RESP,bacteria,linear,P9WQP3,6,4,0.4861666666666667
SEMA,RESP,bacteria,linear,P9WK17,6,4,0.4000000000000001
SEMA,RESP,bacteria,linear,P96402,6,4,0.30833333333333335
SEMA,RESP,bacteria,linear,P9WJD9,6,5,0.7334999999999999
SEMA,RESP,bacteria,linear,P43926,6,6,0.5333333333333333
SEMA,RESP,bacteria,linear,L7N675,5,4,0.6534
SEMA,RESP,bacteria,linear,P9WFR1,5,4,0.5202
SEMA,RESP,bacteria,linear,P9WGY7,5,3,0.39180000000000004
SEMA,RESP,bacteria,linear,P9WHE3,5,5,0.8
SEMA,RESP,bacteria,linear,P96394,5,5,0.7332
SEMA,RESP,bacteria,linear,P9WJW7,5,3,0.27240000000000003
