model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
GraphBepi,RESP,bacteria,linear,P14283,124,17,0.06996774193548387
GraphBepi,RESP,bacteria,linear,P9WQP1,78,0,0.024551282051282052
GraphBepi,RESP,bacteria,linear,P10324,76,71,0.43869736842105267
GraphBepi,RESP,bacteria,linear,P9WMJ9,67,24,0.15858208955223882
GraphBepi,RESP,bacteria,linear,P9WPE7,65,5,0.06386153846153846
GraphBepi,RESP,bacteria,linear,P0A3R5,62,46,0.33099999999999996
GraphBepi,RESP,bacteria,linear,P9WPE5,55,55,0.7859636363636364
GraphBepi,RESP,bacteria,linear,P43839,51,0,0.0007254901960784313
GraphBepi,RESP,bacteria,linear,P04977,48,8,0.12545833333333334
GraphBepi,RESP,bacteria,linear,P9WGU1,35,12,0.17114285714285715
GraphBepi,RESP,bacteria,linear,P9WNF5,32,26,0.41459375
GraphBepi,RESP,bacteria,linear,P9WNK7,23,16,0.3676956521739131
GraphBepi,RESP,bacteria,linear,P04979,23,22,0.5189565217391304
GraphBepi,RESP,bacteria,linear,P9WNK5,22,11,0.22354545454545455
GraphBepi,RESP,bacteria,linear,P43838,19,0,0.012157894736842105
GraphBepi,RESP,bacteria,linear,P05788,19,8,0.22668421052631577
GraphBepi,RESP,bacteria,linear,P9WK61,18,18,0.9225555555555557
GraphBepi,RESP,bacteria,linear,P9WMK1,17,16,0.7293529411764706
GraphBepi,RESP,bacteria,linear,P17835,17,2,0.13388235294117645
GraphBepi,RESP,bacteria,linear,P04978,15,13,0.43706666666666666
GraphBepi,RESP,bacteria,linear,Q79GX8,13,0,0.0
GraphBepi,RESP,bacteria,linear,P9WJE1,13,1,0.05
GraphBepi,RESP,bacteria,linear,P9WHZ5,12,1,0.043750000000000004
GraphBepi,RESP,bacteria,linear,P0C2J9,11,3,0.10099999999999999
GraphBepi,RESP,bacteria,linear,I6Y293,11,4,0.24636363636363637
GraphBepi,RESP,bacteria,linear,P9WIN9,10,10,0.6219
GraphBepi,RESP,bacteria,linear,P9WQF3,10,10,0.6747
GraphBepi,RESP,bacteria,linear,A0A0H2US50,9,4,0.31622222222222224
GraphBepi,RESP,bacteria,linear,Q06282,8,0,0.0
GraphBepi,RESP,bacteria,linear,P9WGT9,8,1,0.16662500000000002
GraphBepi,RESP,bacteria,linear,P9WJD3,8,7,0.7
GraphBepi,RESP,bacteria,linear,P43840,8,6,0.225125
GraphBepi,RESP,bacteria,linear,P9WIP1,6,6,0.5886666666666667
GraphBepi,RESP,bacteria,linear,P9WK17,6,0,0.0
GraphBepi,RESP,bacteria,linear,P9WJD9,6,0,0.022166666666666668
GraphBepi,RESP,bacteria,linear,P43926,6,0,0.06666666666666667
GraphBepi,RESP,bacteria,linear,P96402,6,0,0.0
GraphBepi,RESP,bacteria,linear,P9WQP3,6,0,0.05833333333333334
GraphBepi,RESP,bacteria,linear,P96394,5,4,0.41319999999999996
GraphBepi,RESP,bacteria,linear,P9WJW7,5,0,0.01
GraphBepi,RESP,bacteria,linear,O06404,5,0,0.1066
GraphBepi,RESP,bacteria,linear,P9WHE3,5,5,0.8800000000000001
GraphBepi,RESP,bacteria,linear,P9WL51,5,5,0.9018
GraphBepi,RESP,bacteria,linear,P9WFR1,5,3,0.21340000000000003
GraphBepi,RESP,bacteria,linear,P9WNF3,5,1,0.16620000000000001
GraphBepi,RESP,bacteria,linear,L7N675,5,5,0.8534
GraphBepi,RESP,bacteria,linear,P9WJQ9,4,1,0.15000000000000002
GraphBepi,RESP,bacteria,linear,P9WP43,4,4,0.49250000000000005
GraphBepi,RESP,bacteria,linear,P9WN09,4,2,0.2335
GraphBepi,RESP,bacteria,linear,L0T7Y7,4,4,0.683
GraphBepi,RESP,bacteria,linear,O53611,4,0,0.0
GraphBepi,RESP,bacteria,linear,P9WGT7,4,0,0.13325
GraphBepi,RESP,bacteria,linear,P9WG67,4,4,0.53325
GraphBepi,RESP,bacteria,linear,P9WIP9,4,0,0.0475
GraphBepi,RESP,bacteria,linear,P95149,3,0,0.0
GraphBepi,RESP,bacteria,linear,P9WFC9,3,3,0.6663333333333333
GraphBepi,RESP,bacteria,linear,P9WNE5,3,0,0.06666666666666667
GraphBepi,RESP,bacteria,linear,P9WI41,3,0,0.08866666666666667
GraphBepi,RESP,bacteria,linear,P9WIR7,3,3,0.7333333333333334
GraphBepi,RESP,bacteria,linear,P9WKL1,3,0,0.0
GraphBepi,RESP,bacteria,linear,P95229,3,0,0.0
GraphBepi,RESP,bacteria,linear,P9WNK3,3,0,0.04466666666666667
GraphBepi,RESP,bacteria,linear,A0A0H2UN40,3,0,0.0
GraphBepi,RESP,bacteria,linear,A0A0H2UPR0,3,0,0.05000000000000001
GraphBepi,RESP,bacteria,linear,Q79FZ9,3,3,0.8206666666666665
GraphBepi,RESP,bacteria,linear,Q79FE6,3,1,0.15566666666666668
GraphBepi,RESP,bacteria,linear,O33192,3,3,0.8889999999999999
GraphBepi,RESP,bacteria,linear,O53732,3,0,0.0
GraphBepi,RESP,bacteria,linear,P95202,2,2,0.7335
GraphBepi,RESP,bacteria,linear,O07175,2,2,0.4
GraphBepi,RESP,bacteria,linear,P44970,2,0,0.125
GraphBepi,RESP,bacteria,linear,P9WQM5,2,0,0.0
GraphBepi,RESP,bacteria,linear,P9WQN7,2,0,0.0
GraphBepi,RESP,bacteria,linear,P9WLS9,2,2,1.0
GraphBepi,RESP,bacteria,linear,P9WI33,2,2,0.4665
GraphBepi,RESP,bacteria,linear,P9WI37,2,1,0.2935
GraphBepi,RESP,bacteria,linear,P9WIB5,2,0,0.0
GraphBepi,RESP,bacteria,linear,P9WI79,2,1,0.167
GraphBepi,RESP,bacteria,linear,A0A0H2UNY9,2,2,0.926
GraphBepi,RESP,bacteria,linear,P9WIM9,2,2,0.5435
GraphBepi,RESP,bacteria,linear,O05461,2,1,0.17200000000000001
GraphBepi,RESP,bacteria,linear,Q79FA9,2,1,0.4335
GraphBepi,RESP,bacteria,linear,P9WJA3,2,2,0.6335
GraphBepi,RESP,bacteria,linear,P9WJA9,2,2,0.5335
GraphBepi,RESP,bacteria,linear,P9WJC3,2,1,0.5665
GraphBepi,RESP,bacteria,linear,I6Y936,2,2,0.9
GraphBepi,RESP,bacteria,linear,P9WHY9,2,1,0.2665
GraphBepi,RESP,bacteria,linear,P9WI05,2,1,0.6
GraphBepi,RESP,bacteria,linear,P9WG25,2,0,0.0
GraphBepi,RESP,bacteria,linear,P9WHV9,2,0,0.0
GraphBepi,RESP,bacteria,linear,P96264,2,0,0.0
GraphBepi,RESP,bacteria,linear,P44600,2,0,0.0355
GraphBepi,RESP,bacteria,linear,P9WNU5,2,0,0.133
GraphBepi,RESP,bacteria,linear,P43724,2,2,0.95
GraphBepi,RESP,bacteria,linear,P26093,2,0,0.15
GraphBepi,RESP,bacteria,linear,P9WPL7,2,0,0.1
GraphBepi,RESP,bacteria,linear,O53972,2,1,0.5645
GraphBepi,RESP,bacteria,linear,P9WNJ3,2,0,0.0665
GraphBepi,RESP,bacteria,linear,P9WFL9,2,2,0.9335
GraphBepi,RESP,bacteria,linear,O53966,2,0,0.1
GraphBepi,RESP,bacteria,linear,P71810,2,2,0.465
GraphBepi,RESP,bacteria,linear,O53519,2,2,0.6665000000000001
GraphBepi,RESP,bacteria,linear,P9WQB1,2,0,0.067
GraphBepi,RESP,bacteria,linear,P9WPQ1,2,2,0.5335
GraphBepi,RESP,bacteria,linear,P9WHM5,2,0,0.02
GraphBepi,RESP,bacteria,linear,P9WQN9,1,0,0.067
GraphBepi,RESP,bacteria,linear,P9WQD7,1,0,0.0
GraphBepi,RESP,bacteria,linear,Q79FH3,1,1,0.467
GraphBepi,RESP,bacteria,linear,P9WPD5,1,0,0.0
GraphBepi,RESP,bacteria,linear,P9WMX7,1,1,0.4
GraphBepi,RESP,bacteria,linear,P9WK79,1,1,0.4
GraphBepi,RESP,bacteria,linear,P9WQ59,1,0,0.133
