model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
SEMA,GAST,bacteria,linear,Q9PHW6,76,57,0.46840789473684213
SEMA,GAST,bacteria,linear,P18013,72,60,0.5958749999999999
SEMA,GAST,bacteria,linear,Q57193,31,29,0.8295483870967743
SEMA,GAST,bacteria,linear,P18012,27,26,0.9351851851851852
SEMA,GAST,bacteria,linear,P01555,27,23,0.5202222222222223
SEMA,GAST,bacteria,linear,P01556,26,23,0.7217307692307693
SEMA,GAST,bacteria,linear,P29485,23,18,0.6401304347826088
SEMA,GAST,bacteria,linear,Q60153,19,19,0.6627368421052632
SEMA,GAST,bacteria,linear,P56963,10,7,0.3167
SEMA,GAST,bacteria,linear,A0A0H3NA87,9,5,0.36977777777777776
SEMA,GAST,bacteria,linear,Q0P9X9,8,5,0.41675000000000006
SEMA,GAST,bacteria,linear,Q0PBH5,8,6,0.422125
SEMA,GAST,bacteria,linear,P18011,8,6,0.4215
SEMA,GAST,bacteria,linear,A0A0H3NCG3,7,7,0.6141428571428572
SEMA,GAST,bacteria,linear,P80672,6,5,0.5005000000000001
SEMA,GAST,bacteria,linear,A0A0H3NVD8,6,6,0.5085000000000001
SEMA,GAST,bacteria,linear,A0A0H3NBQ0,4,4,0.66675
SEMA,GAST,bacteria,linear,Q9KPR1,3,3,0.46199999999999997
SEMA,GAST,bacteria,linear,Q0PC24,2,2,0.8095
SEMA,GAST,bacteria,linear,Q0PAK5,2,2,0.47250000000000003
SEMA,GAST,bacteria,linear,A0A0H3NJI9,2,2,0.7945
SEMA,GAST,bacteria,linear,Q08860,2,2,0.625
SEMA,GAST,bacteria,linear,Q9KSD1,1,0,0.133
SEMA,GAST,bacteria,linear,A0A0H2VTE4,1,1,0.556
SEMA,GAST,bacteria,linear,Q0P8M9,1,1,0.533
SEMA,GAST,bacteria,linear,P0C6Q5,1,0,0.0
SEMA,GAST,bacteria,linear,F5NW60,1,1,0.5
SEMA,GAST,bacteria,linear,A0A2S4MYF8,1,0,0.0
SEMA,GAST,bacteria,linear,A0A0H3NWJ3,1,1,0.75
SEMA,GAST,bacteria,linear,A0A0H3NMJ6,1,0,0.0
SEMA,GAST,bacteria,linear,A0A0H3NKE0,1,0,0.0
SEMA,GAST,bacteria,linear,A0A0H3NG19,1,1,0.385
SEMA,GAST,bacteria,linear,A0A0H3NFG2,1,0,0.0
SEMA,GAST,bacteria,linear,Q9PPM0,1,1,1.0
