model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
ElliPro,RESP,bacteria,linear,P14283,124,77,0.5262741935483871
ElliPro,RESP,bacteria,linear,P9WQP1,78,50,0.41911538461538467
ElliPro,RESP,bacteria,linear,P10324,76,48,0.37386842105263157
ElliPro,RESP,bacteria,linear,P9WMJ9,67,67,1.0
ElliPro,RESP,bacteria,linear,P9WPE7,65,49,0.5109230769230769
ElliPro,RESP,bacteria,linear,P0A3R5,62,52,0.4435645161290323
ElliPro,RESP,bacteria,linear,P9WPE5,55,42,0.45229090909090913
ElliPro,RESP,bacteria,linear,P43839,51,44,0.5403529411764706
ElliPro,RESP,bacteria,linear,P04977,48,33,0.48900000000000005
ElliPro,RESP,bacteria,linear,A0A0H2UMZ8,47,32,0.5986595744680852
ElliPro,RESP,bacteria,linear,P9WGU1,35,22,0.40891428571428573
ElliPro,RESP,bacteria,linear,P9WNF5,32,19,0.411625
ElliPro,RESP,bacteria,linear,P04979,23,21,0.47426086956521735
ElliPro,RESP,bacteria,linear,P9WNK7,23,18,0.44482608695652176
ElliPro,RESP,bacteria,linear,P9WNK5,22,17,0.4566363636363637
ElliPro,RESP,bacteria,linear,P43838,19,18,0.5040526315789474
ElliPro,RESP,bacteria,linear,P05788,19,12,0.485
ElliPro,RESP,bacteria,linear,P9WK61,18,13,0.4956666666666667
ElliPro,RESP,bacteria,linear,P9WMK1,17,13,0.4357647058823529
ElliPro,RESP,bacteria,linear,P17835,17,11,0.4824117647058824
ElliPro,RESP,bacteria,linear,P04978,15,11,0.42933333333333334
ElliPro,RESP,bacteria,linear,Q79GX8,13,13,0.9914615384615384
ElliPro,RESP,bacteria,linear,P9WJE1,13,11,0.5942307692307692
ElliPro,RESP,bacteria,linear,P9WHZ5,12,6,0.22441666666666668
ElliPro,RESP,bacteria,linear,P0C2J9,11,11,0.8734545454545455
ElliPro,RESP,bacteria,linear,I6Y293,11,6,0.3513636363636364
ElliPro,RESP,bacteria,linear,I6Y231,10,6,0.4001
ElliPro,RESP,bacteria,linear,P9WIN9,10,6,0.39580000000000004
ElliPro,RESP,bacteria,linear,P9WQF3,10,6,0.3532
ElliPro,RESP,bacteria,linear,A0A0H2US50,9,6,0.5737777777777777
ElliPro,RESP,bacteria,linear,P9WJD3,8,6,0.56675
ElliPro,RESP,bacteria,linear,P9WGT9,8,6,0.450125
ElliPro,RESP,bacteria,linear,P43840,8,8,0.601375
ElliPro,RESP,bacteria,linear,Q06282,8,7,0.539125
ElliPro,RESP,bacteria,linear,P9WGY9,7,6,0.7524285714285713
ElliPro,RESP,bacteria,linear,P9WIP1,6,4,0.2335
ElliPro,RESP,bacteria,linear,P9WQP3,6,3,0.3333333333333333
ElliPro,RESP,bacteria,linear,P9WK17,6,6,0.8223333333333334
