organism,dataset_type,uniprot_id,download_status,source,alphafold_version,structure_id,download_url,structure_path,error
RESP,linear,A0A0H2UMZ8,downloaded,AlphaFold,v6,AF-A0A0H2UMZ8-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UMZ8-F1-model_v6.pdb,structures/RESP/linear/A0A0H2UMZ8.pdb,
RESP,linear,A0A0H2UN40,downloaded,AlphaFold,v6,AF-A0A0H2UN40-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UN40-F1-model_v6.pdb,structures/RESP/linear/A0A0H2UN40.pdb,
RESP,linear,A0A0H2UNY9,downloaded,AlphaFold,v6,AF-A0A0H2UNY9-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UNY9-F1-model_v6.pdb,structures/RESP/linear/A0A0H2UNY9.pdb,
RESP,linear,A0A0H2UPR0,downloaded,AlphaFold,v6,AF-A0A0H2UPR0-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UPR0-F1-model_v6.pdb,structures/RESP/linear/A0A0H2UPR0.pdb,
RESP,linear,A0A0H2UPR3,downloaded,AlphaFold,v6,AF-A0A0H2UPR3-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UPR3-F1-model_v6.pdb,structures/RESP/linear/A0A0H2UPR3.pdb,
RESP,linear,A0A0H2UQ39,downloaded,AlphaFold,v6,AF-A0A0H2UQ39-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UQ39-F1-model_v6.pdb,structures/RESP/linear/A0A0H2UQ39.pdb,
RESP,linear,A0A0H2US36,downloaded,AlphaFold,v6,AF-A0A0H2US36-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2US36-F1-model_v6.pdb,structures/RESP/linear/A0A0H2US36.pdb,
RESP,linear,A0A0H2US50,downloaded,AlphaFold,v6,AF-A0A0H2US50-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2US50-F1-model_v6.pdb,structures/RESP/linear/A0A0H2US50.pdb,
RESP,linear,A1KFU9,downloaded,AlphaFold,v6,AF-A1KFU9-F1,https://alphafold.ebi.ac.uk/files/AF-A1KFU9-F1-model_v6.pdb,structures/RESP/linear/A1KFU9.pdb,
RESP,linear,I6X7X3,downloaded,AlphaFold,v6,AF-I6X7X3-F1,https://alphafold.ebi.ac.uk/files/AF-I6X7X3-F1-model_v6.pdb,structures/RESP/linear/I6X7X3.pdb,
RESP,linear,I6Y231,downloaded,AlphaFold,v6,AF-I6Y231-F1,https://alphafold.ebi.ac.uk/files/AF-I6Y231-F1-model_v6.pdb,structures/RESP/linear/I6Y231.pdb,
RESP,linear,I6Y293,downloaded,AlphaFold,v6,AF-I6Y293-F1,https://alphafold.ebi.ac.uk/files/AF-I6Y293-F1-model_v6.pdb,structures/RESP/linear/I6Y293.pdb,
RESP,linear,I6Y7L4,not_found,none,,,,,Expecting value: line 1 column 1 (char 0)
RESP,linear,I6Y936,downloaded,AlphaFold,v6,AF-I6Y936-F1,https://alphafold.ebi.ac.uk/files/AF-I6Y936-F1-model_v6.pdb,structures/RESP/linear/I6Y936.pdb,
RESP,linear,I6YE30,downloaded,AlphaFold,v6,AF-I6YE30-F1,https://alphafold.ebi.ac.uk/files/AF-I6YE30-F1-model_v6.pdb,structures/RESP/linear/I6YE30.pdb,
RESP,linear,I6YG83,downloaded,AlphaFold,v6,AF-I6YG83-F1,https://alphafold.ebi.ac.uk/files/AF-I6YG83-F1-model_v6.pdb,structures/RESP/linear/I6YG83.pdb,
RESP,linear,L0T2W6,downloaded,AlphaFold,v6,AF-L0T2W6-F1,https://alphafold.ebi.ac.uk/files/AF-L0T2W6-F1-model_v6.pdb,structures/RESP/linear/L0T2W6.pdb,
RESP,linear,L0T7Y7,downloaded,AlphaFold,v6,AF-L0T7Y7-F1,https://alphafold.ebi.ac.uk/files/AF-L0T7Y7-F1-model_v6.pdb,structures/RESP/linear/L0T7Y7.pdb,
RESP,linear,L7N675,downloaded,AlphaFold,v6,AF-L7N675-F1,https://alphafold.ebi.ac.uk/files/AF-L7N675-F1-model_v6.pdb,structures/RESP/linear/L7N675.pdb,
RESP,linear,O05461,downloaded,AlphaFold,v6,AF-O05461-F1,https://alphafold.ebi.ac.uk/files/AF-O05461-F1-model_v6.pdb,structures/RESP/linear/O05461.pdb,
RESP,linear,O06195,downloaded,AlphaFold,v6,AF-O06195-F1,https://alphafold.ebi.ac.uk/files/AF-O06195-F1-model_v6.pdb,structures/RESP/linear/O06195.pdb,
RESP,linear,O06404,downloaded,AlphaFold,v6,AF-O06404-F1,https://alphafold.ebi.ac.uk/files/AF-O06404-F1-model_v6.pdb,structures/RESP/linear/O06404.pdb,
RESP,linear,O06608,downloaded,AlphaFold,v6,AF-O06608-F1,https://alphafold.ebi.ac.uk/files/AF-O06608-F1-model_v6.pdb,structures/RESP/linear/O06608.pdb,
