model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
SEMA,ESKAPE,bacteria,linear,Q2FXX5,65,55,0.5476153846153846
SEMA,ESKAPE,bacteria,linear,Q2G1X0,58,50,0.5146034482758621
SEMA,ESKAPE,bacteria,linear,P13794,45,42,0.6397777777777778
SEMA,ESKAPE,bacteria,linear,Q2FYP2,40,25,0.47275
SEMA,ESKAPE,bacteria,linear,P14738,39,39,0.8577948717948718
SEMA,ESKAPE,bacteria,linear,P11439,25,21,0.50304
SEMA,ESKAPE,bacteria,linear,Q2FZF0,20,20,0.97255
SEMA,ESKAPE,bacteria,linear,A0A0H3GNG3,19,18,0.5543157894736842
SEMA,ESKAPE,bacteria,linear,P04739,14,14,0.7115
SEMA,ESKAPE,bacteria,linear,Q2G2Y0,11,7,0.48254545454545456
SEMA,ESKAPE,bacteria,linear,Q2G2D8,9,6,0.35988888888888887
SEMA,ESKAPE,bacteria,linear,A0A0H3GN17,8,6,0.5895
SEMA,ESKAPE,bacteria,linear,Q2FVK2,8,8,0.707875
SEMA,ESKAPE,bacteria,linear,A0A0H3GK81,7,5,0.439
SEMA,ESKAPE,bacteria,linear,A0A0H3GKL7,6,2,0.21916666666666665
SEMA,ESKAPE,bacteria,linear,Q3XYW0,6,3,0.26666666666666666
SEMA,ESKAPE,bacteria,linear,Q53682,4,4,1.0
SEMA,ESKAPE,bacteria,linear,Q2FZB1,4,4,0.52725
SEMA,ESKAPE,bacteria,linear,A0A0H3GQ86,4,3,0.25625
SEMA,ESKAPE,bacteria,linear,Q2FWP0,3,2,0.3333333333333333
SEMA,ESKAPE,bacteria,linear,Q2FWM6,3,3,0.5873333333333334
SEMA,ESKAPE,bacteria,linear,Q2FXB0,3,3,0.4243333333333334
SEMA,ESKAPE,bacteria,linear,A0A0H3GP64,3,3,0.5556666666666666
SEMA,ESKAPE,bacteria,linear,A0A0H3GGM3,2,2,0.79
SEMA,ESKAPE,bacteria,linear,P14756,2,2,0.4445
SEMA,ESKAPE,bacteria,linear,P0A074,2,2,0.455
SEMA,ESKAPE,bacteria,linear,Q2FZ94,2,1,0.26
SEMA,ESKAPE,bacteria,linear,Q2G032,2,1,0.375
SEMA,ESKAPE,bacteria,linear,A0A0H3GSS7,2,2,0.6000000000000001
SEMA,ESKAPE,bacteria,linear,Q2G2G6,1,0,0.16
SEMA,ESKAPE,bacteria,linear,A0A0H3GWX4,1,0,0.167
SEMA,ESKAPE,bacteria,linear,Q2G2B2,1,1,0.778
SEMA,ESKAPE,bacteria,linear,Q2G028,1,1,0.389
SEMA,ESKAPE,bacteria,linear,A0A0H3GX94,1,1,0.556
SEMA,ESKAPE,bacteria,linear,Q2G1N0,1,0,0.059
SEMA,ESKAPE,bacteria,linear,Q2G2Q0,1,1,0.647
SEMA,ESKAPE,bacteria,linear,Q2G1E2,1,0,0.043
SEMA,ESKAPE,bacteria,linear,Q2G2W1,1,0,0.0
SEMA,ESKAPE,bacteria,linear,Q2G155,1,1,1.0
SEMA,ESKAPE,bacteria,linear,Q2G034,1,1,0.388
SEMA,ESKAPE,bacteria,linear,Q2G282,1,1,0.875
SEMA,ESKAPE,bacteria,linear,Q2FVI5,1,0,0.1
SEMA,ESKAPE,bacteria,linear,Q2G010,1,1,0.727
SEMA,ESKAPE,bacteria,linear,Q2FUY2,1,1,1.0
SEMA,ESKAPE,bacteria,linear,G3XD49,1,1,0.333
SEMA,ESKAPE,bacteria,linear,Q2FZB8,1,1,0.714
SEMA,ESKAPE,bacteria,linear,Q2FZ93,1,0,0.0
SEMA,ESKAPE,bacteria,linear,Q2FY60,1,1,0.4
SEMA,ESKAPE,bacteria,linear,P30718,1,1,0.7
SEMA,ESKAPE,bacteria,linear,Q2FXN2,1,0,0.0
SEMA,ESKAPE,bacteria,linear,Q2FXJ6,1,1,0.941
SEMA,ESKAPE,bacteria,linear,A0A0H3GIG3,1,1,0.25
SEMA,ESKAPE,bacteria,linear,Q2FXA5,1,1,0.667
SEMA,ESKAPE,bacteria,linear,Q06579,1,1,0.867
SEMA,ESKAPE,bacteria,linear,Q2FWN4,1,1,0.5
SEMA,ESKAPE,bacteria,linear,Q2FUX4,1,1,0.278
SEMA,ESKAPE,bacteria,linear,Q2FWC4,1,1,0.75
SEMA,ESKAPE,bacteria,linear,Q2FZK7,1,1,1.0
