model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
DiscoTope,ESKAPE,bacteria,linear,Q2FXX5,65,29,0.23795384615384615
DiscoTope,ESKAPE,bacteria,linear,Q2G1X0,58,16,0.19058620689655173
DiscoTope,ESKAPE,bacteria,linear,P13794,45,31,0.33573333333333333
DiscoTope,ESKAPE,bacteria,linear,Q2FYP2,40,5,0.11545000000000001
DiscoTope,ESKAPE,bacteria,linear,P14738,39,16,0.21097435897435896
DiscoTope,ESKAPE,bacteria,linear,P11439,25,12,0.26256
DiscoTope,ESKAPE,bacteria,linear,Q2FZF0,20,10,0.2655
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GNG3,19,4,0.1053684210526316
DiscoTope,ESKAPE,bacteria,linear,P04739,14,2,0.08721428571428572
DiscoTope,ESKAPE,bacteria,linear,Q2G2Y0,11,6,0.24872727272727274
DiscoTope,ESKAPE,bacteria,linear,Q2G2D8,9,3,0.18733333333333332
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GN17,8,4,0.292625
DiscoTope,ESKAPE,bacteria,linear,Q2FVK2,8,7,0.526875
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GK81,7,2,0.20428571428571432
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GKL7,6,3,0.15666666666666668
DiscoTope,ESKAPE,bacteria,linear,Q3XYW0,6,1,0.07783333333333334
DiscoTope,ESKAPE,bacteria,linear,Q53682,4,1,0.083
DiscoTope,ESKAPE,bacteria,linear,Q2FZB1,4,3,0.51675
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GQ86,4,0,0.05675
DiscoTope,ESKAPE,bacteria,linear,Q2FWP0,3,0,0.14833333333333334
DiscoTope,ESKAPE,bacteria,linear,Q2FWM6,3,1,0.22033333333333335
DiscoTope,ESKAPE,bacteria,linear,Q2FXB0,3,1,0.15166666666666664
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GP64,3,0,0.044333333333333336
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GGM3,2,2,0.27
DiscoTope,ESKAPE,bacteria,linear,P14756,2,0,0.0555
DiscoTope,ESKAPE,bacteria,linear,P0A074,2,0,0.091
DiscoTope,ESKAPE,bacteria,linear,Q2FZ94,2,1,0.097
DiscoTope,ESKAPE,bacteria,linear,Q2G032,2,1,0.375
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GSS7,2,1,0.225
DiscoTope,ESKAPE,bacteria,linear,Q2G2G6,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GWX4,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,Q2G2B2,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,Q2G028,1,0,0.222
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GX94,1,1,0.333
DiscoTope,ESKAPE,bacteria,linear,Q2G1N0,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,Q2G2Q0,1,1,0.529
DiscoTope,ESKAPE,bacteria,linear,Q2G1E2,1,0,0.043
DiscoTope,ESKAPE,bacteria,linear,Q2G2W1,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,Q2G155,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,Q2G034,1,0,0.041
DiscoTope,ESKAPE,bacteria,linear,Q2G282,1,1,0.312
DiscoTope,ESKAPE,bacteria,linear,Q2FVI5,1,0,0.15
DiscoTope,ESKAPE,bacteria,linear,Q2G010,1,1,0.727
DiscoTope,ESKAPE,bacteria,linear,Q2FUY2,1,1,0.588
DiscoTope,ESKAPE,bacteria,linear,G3XD49,1,0,0.0
DiscoTope,ESKAPE,bacteria,linear,Q2FZB8,1,0,0.071
DiscoTope,ESKAPE,bacteria,linear,Q2FZ93,1,0,0.2
DiscoTope,ESKAPE,bacteria,linear,Q2FY60,1,1,0.25
DiscoTope,ESKAPE,bacteria,linear,P30718,1,0,0.1
DiscoTope,ESKAPE,bacteria,linear,Q2FXN2,1,0,0.077
DiscoTope,ESKAPE,bacteria,linear,Q2FXJ6,1,1,0.412
DiscoTope,ESKAPE,bacteria,linear,A0A0H3GIG3,1,0,0.062
DiscoTope,ESKAPE,bacteria,linear,Q2FXA5,1,0,0.167
DiscoTope,ESKAPE,bacteria,linear,Q06579,1,1,0.4
DiscoTope,ESKAPE,bacteria,linear,Q2FWN4,1,1,0.333
DiscoTope,ESKAPE,bacteria,linear,Q2FUX4,1,1,0.278
DiscoTope,ESKAPE,bacteria,linear,Q2FWC4,1,1,0.45
DiscoTope,ESKAPE,bacteria,linear,Q2FZK7,1,1,0.737
