model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall,mean_precision
ElliPro,RESP,bacteria,conformational,P0DKX7,2,1,0.1,0.002
ElliPro,RESP,bacteria,conformational,P9WGU1,2,2,0.6365000000000001,0.049
ElliPro,RESP,bacteria,conformational,A0A0H2UQH5,1,1,1.0,0.042
ElliPro,RESP,bacteria,conformational,A0A0H2UR84,1,1,0.35,0.06
ElliPro,RESP,bacteria,conformational,P04977,1,1,0.786,0.087
ElliPro,RESP,bacteria,conformational,P04978,1,1,0.188,0.027
ElliPro,RESP,bacteria,conformational,P10324,1,1,0.5,0.068
ElliPro,RESP,bacteria,conformational,P17835,1,1,0.35,0.069
ElliPro,RESP,bacteria,conformational,P9WQ35,1,1,0.267,0.019
ElliPro,RESP,bacteria,conformational,Q79GX8,1,1,1.0,0.108
ElliPro,RESP,bacteria,conformational,Q97QP7,1,1,0.158,0.003
