organism,dataset_type,uniprot_id,download_status,source,alphafold_version,structure_id,download_url,structure_path,error
RESP,conformational,A0A0H2UQH5,downloaded,AlphaFold,v6,AF-A0A0H2UQH5-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UQH5-F1-model_v6.pdb,structures/RESP/conformational/A0A0H2UQH5.pdb,
RESP,conformational,A0A0H2UR84,downloaded,AlphaFold,v6,AF-A0A0H2UR84-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H2UR84-F1-model_v6.pdb,structures/RESP/conformational/A0A0H2UR84.pdb,
RESP,conformational,P04977,downloaded,AlphaFold,v6,AF-P04977-F1,https://alphafold.ebi.ac.uk/files/AF-P04977-F1-model_v6.pdb,structures/RESP/conformational/P04977.pdb,
RESP,conformational,P04978,downloaded,AlphaFold,v6,AF-P04978-F1,https://alphafold.ebi.ac.uk/files/AF-P04978-F1-model_v6.pdb,structures/RESP/conformational/P04978.pdb,
RESP,conformational,P0DKX7,downloaded,AlphaFold,v6,AF-P0DKX7-F1,https://alphafold.ebi.ac.uk/files/AF-P0DKX7-F1-model_v6.pdb,structures/RESP/conformational/P0DKX7.pdb,
RESP,conformational,P10324,downloaded,AlphaFold,v6,AF-P10324-F1,https://alphafold.ebi.ac.uk/files/AF-P10324-F1-model_v6.pdb,structures/RESP/conformational/P10324.pdb,
RESP,conformational,P17835,downloaded,AlphaFold,v6,AF-P17835-F1,https://alphafold.ebi.ac.uk/files/AF-P17835-F1-model_v6.pdb,structures/RESP/conformational/P17835.pdb,
RESP,conformational,P9WGU1,downloaded,AlphaFold,v6,AF-P9WGU1-F1,https://alphafold.ebi.ac.uk/files/AF-P9WGU1-F1-model_v6.pdb,structures/RESP/conformational/P9WGU1.pdb,
RESP,conformational,P9WQ35,downloaded,AlphaFold,v6,AF-P9WQ35-F1,https://alphafold.ebi.ac.uk/files/AF-P9WQ35-F1-model_v6.pdb,structures/RESP/conformational/P9WQ35.pdb,
RESP,conformational,Q79GX8,downloaded,AlphaFold,v6,AF-Q79GX8-F1,https://alphafold.ebi.ac.uk/files/AF-Q79GX8-F1-model_v6.pdb,structures/RESP/conformational/Q79GX8.pdb,
RESP,conformational,Q97QP7,downloaded,AlphaFold,v6,AF-Q97QP7-F1,https://alphafold.ebi.ac.uk/files/AF-Q97QP7-F1-model_v6.pdb,structures/RESP/conformational/Q97QP7.pdb,
