model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall,mean_precision
DiscoTope,ESKAPE,bacteria,conformational,P11439,29,22,0.5053103448275862,0.012551724137931035
DiscoTope,ESKAPE,bacteria,conformational,Q2FZF0,23,9,0.1882608695652174,0.011434782608695652
DiscoTope,ESKAPE,bacteria,conformational,Q2FWV3,12,3,0.1625,0.010333333333333333
DiscoTope,ESKAPE,bacteria,conformational,Q2FXX5,10,8,0.2723,0.0654
DiscoTope,ESKAPE,bacteria,conformational,Q2G1K8,6,3,0.5,0.0085
DiscoTope,ESKAPE,bacteria,conformational,Q2G2D8,4,4,0.71425,0.1535
DiscoTope,ESKAPE,bacteria,conformational,G3XD49,3,3,0.6576666666666667,0.11866666666666666
DiscoTope,ESKAPE,bacteria,conformational,Q2G015,2,2,0.299,0.023
DiscoTope,ESKAPE,bacteria,conformational,Q2G032,2,1,0.4,0.0315
DiscoTope,ESKAPE,bacteria,conformational,Q2G0A2,2,2,0.1395,0.055999999999999994
DiscoTope,ESKAPE,bacteria,conformational,Q2G1X0,2,2,0.702,0.189
DiscoTope,ESKAPE,bacteria,conformational,Q2FZB1,1,0,0.0,0.0
DiscoTope,ESKAPE,bacteria,conformational,Q2FWP0,1,1,1.0,0.153
DiscoTope,ESKAPE,bacteria,conformational,Q2G010,1,1,0.111,0.038
DiscoTope,ESKAPE,bacteria,conformational,P35818,1,1,0.333,0.023
DiscoTope,ESKAPE,bacteria,conformational,P13794,1,1,0.667,0.093
DiscoTope,ESKAPE,bacteria,conformational,Q9I6J0,1,1,0.4,0.087
