organism,dataset_type,uniprot_id,download_status,source,alphafold_version,structure_id,download_url,structure_path,error
INTRA,linear,A0A0H3AUZ3,downloaded,AlphaFold,v6,AF-A0A0H3AUZ3-F1,https://alphafold.ebi.ac.uk/files/AF-A0A0H3AUZ3-F1-model_v6.pdb,structures/INTRA/linear/A0A0H3AUZ3.pdb,
INTRA,linear,H7C7D7,downloaded,AlphaFold,v6,AF-H7C7D7-F1,https://alphafold.ebi.ac.uk/files/AF-H7C7D7-F1-model_v6.pdb,structures/INTRA/linear/H7C7D7.pdb,
INTRA,linear,O84025,downloaded,AlphaFold,v6,AF-O84025-F1,https://alphafold.ebi.ac.uk/files/AF-O84025-F1-model_v6.pdb,structures/INTRA/linear/O84025.pdb,
INTRA,linear,O84047,downloaded,AlphaFold,v6,AF-O84047-F1,https://alphafold.ebi.ac.uk/files/AF-O84047-F1-model_v6.pdb,structures/INTRA/linear/O84047.pdb,
INTRA,linear,O84061,downloaded,AlphaFold,v6,AF-O84061-F1,https://alphafold.ebi.ac.uk/files/AF-O84061-F1-model_v6.pdb,structures/INTRA/linear/O84061.pdb,
INTRA,linear,O84091,downloaded,AlphaFold,v6,AF-O84091-F1,https://alphafold.ebi.ac.uk/files/AF-O84091-F1-model_v6.pdb,structures/INTRA/linear/O84091.pdb,
INTRA,linear,O84103,downloaded,AlphaFold,v6,AF-O84103-F1,https://alphafold.ebi.ac.uk/files/AF-O84103-F1-model_v6.pdb,structures/INTRA/linear/O84103.pdb,
INTRA,linear,O84145,downloaded,AlphaFold,v6,AF-O84145-F1,https://alphafold.ebi.ac.uk/files/AF-O84145-F1-model_v6.pdb,structures/INTRA/linear/O84145.pdb,
INTRA,linear,O84149,not_found,none,,,,,Expecting value: line 1 column 1 (char 0)
INTRA,linear,O84226,downloaded,AlphaFold,v6,AF-O84226-F1,https://alphafold.ebi.ac.uk/files/AF-O84226-F1-model_v6.pdb,structures/INTRA/linear/O84226.pdb,
INTRA,linear,O84229,downloaded,AlphaFold,v6,AF-O84229-F1,https://alphafold.ebi.ac.uk/files/AF-O84229-F1-model_v6.pdb,structures/INTRA/linear/O84229.pdb,
INTRA,linear,O84243,downloaded,AlphaFold,v6,AF-O84243-F1,https://alphafold.ebi.ac.uk/files/AF-O84243-F1-model_v6.pdb,structures/INTRA/linear/O84243.pdb,
INTRA,linear,O84385,downloaded,AlphaFold,v6,AF-O84385-F1,https://alphafold.ebi.ac.uk/files/AF-O84385-F1-model_v6.pdb,structures/INTRA/linear/O84385.pdb,
INTRA,linear,O84419,downloaded,AlphaFold,v6,AF-O84419-F1,https://alphafold.ebi.ac.uk/files/AF-O84419-F1-model_v6.pdb,structures/INTRA/linear/O84419.pdb,
INTRA,linear,O84449,downloaded,AlphaFold,v6,AF-O84449-F1,https://alphafold.ebi.ac.uk/files/AF-O84449-F1-model_v6.pdb,structures/INTRA/linear/O84449.pdb,
INTRA,linear,O84462,downloaded,AlphaFold,v6,AF-O84462-F1,https://alphafold.ebi.ac.uk/files/AF-O84462-F1-model_v6.pdb,structures/INTRA/linear/O84462.pdb,
INTRA,linear,O84534,downloaded,AlphaFold,v6,AF-O84534-F1,https://alphafold.ebi.ac.uk/files/AF-O84534-F1-model_v6.pdb,structures/INTRA/linear/O84534.pdb,
INTRA,linear,O84546,downloaded,AlphaFold,v6,AF-O84546-F1,https://alphafold.ebi.ac.uk/files/AF-O84546-F1-model_v6.pdb,structures/INTRA/linear/O84546.pdb,
INTRA,linear,O84583,downloaded,AlphaFold,v6,AF-O84583-F1,https://alphafold.ebi.ac.uk/files/AF-O84583-F1-model_v6.pdb,structures/INTRA/linear/O84583.pdb,
INTRA,linear,O84608,downloaded,AlphaFold,v6,AF-O84608-F1,https://alphafold.ebi.ac.uk/files/AF-O84608-F1-model_v6.pdb,structures/INTRA/linear/O84608.pdb,
INTRA,linear,O84623,downloaded,AlphaFold,v6,AF-O84623-F1,https://alphafold.ebi.ac.uk/files/AF-O84623-F1-model_v6.pdb,structures/INTRA/linear/O84623.pdb,
INTRA,linear,O84627,downloaded,AlphaFold,v6,AF-O84627-F1,https://alphafold.ebi.ac.uk/files/AF-O84627-F1-model_v6.pdb,structures/INTRA/linear/O84627.pdb,
INTRA,linear,O84700,downloaded,AlphaFold,v6,AF-O84700-F1,https://alphafold.ebi.ac.uk/files/AF-O84700-F1-model_v6.pdb,structures/INTRA/linear/O84700.pdb,
INTRA,linear,O84701,downloaded,AlphaFold,v6,AF-O84701-F1,https://alphafold.ebi.ac.uk/files/AF-O84701-F1-model_v6.pdb,structures/INTRA/linear/O84701.pdb,
INTRA,linear,O84801,downloaded,AlphaFold,v6,AF-O84801-F1,https://alphafold.ebi.ac.uk/files/AF-O84801-F1-model_v6.pdb,structures/INTRA/linear/O84801.pdb,
INTRA,linear,O84818,downloaded,AlphaFold,v6,AF-O84818-F1,https://alphafold.ebi.ac.uk/files/AF-O84818-F1-model_v6.pdb,structures/INTRA/linear/O84818.pdb,
INTRA,linear,O84819,downloaded,AlphaFold,v6,AF-O84819-F1,https://alphafold.ebi.ac.uk/files/AF-O84819-F1-model_v6.pdb,structures/INTRA/linear/O84819.pdb,
INTRA,linear,O84848,downloaded,AlphaFold,v6,AF-O84848-F1,https://alphafold.ebi.ac.uk/files/AF-O84848-F1-model_v6.pdb,structures/INTRA/linear/O84848.pdb,
INTRA,linear,O84883,downloaded,AlphaFold,v6,AF-O84883-F1,https://alphafold.ebi.ac.uk/files/AF-O84883-F1-model_v6.pdb,structures/INTRA/linear/O84883.pdb,
INTRA,linear,P0A3U4,downloaded,AlphaFold,v6,AF-P0A3U4-F1,https://alphafold.ebi.ac.uk/files/AF-P0A3U4-F1-model_v6.pdb,structures/INTRA/linear/P0A3U4.pdb,
