model,organism,organism_name,group,type,iedb_id,uniprot,start,end,epitope_len,predicted_hits,recall,hit_abs,hit_rel,hit,threshold,K_abs,P_rel,out_of_range,reason
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,60,P9WNK7,13,28,16,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,66,P9WNK7,40,62,23,12.0,0.522,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,151,P9WGU1,285,304,20,3.0,0.15,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,177,P9WK61,70,76,7,3.0,0.429,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,187,P9WNK5,46,60,15,1.0,0.067,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,223,P9WQP1,161,180,20,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,224,P9WQP1,161,181,21,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,257,P10324,80,94,15,4.0,0.267,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,433,P9WK61,46,65,20,2.0,0.1,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,479,P9WMJ9,546,553,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,503,P9WQP1,21,40,20,6.0,0.3,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,655,P9WNK5,86,100,15,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,819,P9WMJ9,549,556,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,917,P9WPE5,64,73,10,1.0,0.1,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,948,P9WMJ9,551,558,8,2.0,0.25,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1236,P9WNF5,39,46,8,4.0,0.5,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,1416,P04977,83,97,15,1.0,0.067,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,1508,P04979,106,136,31,5.0,0.161,True,False,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1522,P9WQP3,289,303,15,4.0,0.267,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1544,P9WQP1,211,225,15,8.0,0.533,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1545,P9WQP1,211,230,20,10.0,0.5,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,1577,P10324,120,134,15,3.0,0.2,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1595,P9WPE7,508,517,10,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1634,P9WMJ9,570,577,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1676,P9WMJ9,575,582,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,1681,P9WNK5,36,50,15,8.0,0.533,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,1740,P10324,70,84,15,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,2190,O07415,180,194,15,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,2198,P17835,110,116,7,3.0,0.429,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,2319,P9WPE5,2,14,13,2.0,0.154,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,2594,P10324,100,114,15,2.0,0.133,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,2695,P9WQP1,191,210,20,10.0,0.5,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,2909,P43838,211,240,30,19.0,0.633,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,2981,P9WPE7,97,106,10,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,3053,P04977,245,256,12,10.0,0.833,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,3381,P04977,207,218,12,3.0,0.25,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,3399,P9WQP1,151,165,15,2.0,0.133,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,3400,P9WQP1,151,170,20,2.0,0.1,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,3402,P9WQP3,154,168,15,3.0,0.2,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,3442,P9WNF5,140,147,8,2.0,0.25,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,3757,P14283,578,599,22,21.0,0.955,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,3934,P9WNK5,51,65,15,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,4132,P9WPE5,91,100,10,1.0,0.1,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,4334,P9WK61,121,140,20,3.0,0.15,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,4364,P9WMJ9,579,586,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,4856,P17835,156,167,12,2.0,0.167,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,4942,P9WNK7,62,85,24,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,4990,P9WK61,136,155,20,11.0,0.55,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5196,P9WPE7,91,105,15,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5244,P9WNF5,61,80,20,4.0,0.2,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5249,P9WMJ9,547,554,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5283,P9WNF5,21,40,20,3.0,0.15,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5350,P9WPE5,45,54,10,3.0,0.3,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5423,P9WPE7,211,226,16,3.0,0.188,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,5609,P43839,21,34,14,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,5661,P9WNK7,42,65,24,11.0,0.458,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,5785,P04979,94,115,22,12.0,0.545,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,6044,P04978,147,160,14,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,6225,P0A3R5,93,108,16,8.0,0.5,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,6323,P9WQP1,251,270,20,13.0,0.65,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,6459,P04979,115,136,22,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,6825,P9WMJ9,595,602,8,8.0,1.0,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,7208,P04978,161,176,16,10.0,0.625,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,7311,P9WMJ9,588,595,8,4.0,0.5,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,7472,P9WGU1,325,344,20,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,7474,P9WMJ9,545,552,8,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,7849,P04977,35,45,11,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,7850,P04977,35,51,17,2.0,0.118,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Bordetella pertussis,bacteria,linear,7851,P04977,1,18,18,2.0,0.111,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,7879,P9WPE7,81,95,15,0.0,0.0,False,False,False,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,7998,P9WNK7,30,38,9,5.0,0.556,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Haemophilus influenzae,bacteria,linear,8147,P10324,90,104,15,6.0,0.4,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,8372,P9WPE5,54,63,10,5.0,0.5,True,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,8438,P9WQP1,80,88,9,3.0,0.333,False,True,True,0.9,5,0.25,False,
DiscoTope,RESP,Mycobacterium tuberculosis,bacteria,linear,8464,P9WK61,91,110,20,6.0,0.3,True,True,True,0.9,5,0.25,False,
