model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
GraphBepi,INTRA,bacteria,linear,Q46409,425,174,0.23787529411764707
GraphBepi,INTRA,bacteria,linear,P38006,25,5,0.12172000000000001
GraphBepi,INTRA,bacteria,linear,P0C0Z7,18,1,0.07733333333333334
GraphBepi,INTRA,bacteria,linear,P21171,16,0,0.0
GraphBepi,INTRA,bacteria,linear,P0CC04,11,10,0.7333636363636363
GraphBepi,INTRA,bacteria,linear,O84462,9,6,0.593
GraphBepi,INTRA,bacteria,linear,P0A3U4,8,5,0.347875
GraphBepi,INTRA,bacteria,linear,P0A3U8,7,6,0.48842857142857143
GraphBepi,INTRA,bacteria,linear,O84534,6,6,0.6581666666666667
GraphBepi,INTRA,bacteria,linear,P0DPS6,6,6,0.8023333333333333
GraphBepi,INTRA,bacteria,linear,P13128,6,0,0.015166666666666667
GraphBepi,INTRA,bacteria,linear,O84883,4,4,0.675
GraphBepi,INTRA,bacteria,linear,O84623,4,4,0.93475
GraphBepi,INTRA,bacteria,linear,O84047,4,4,0.86425
GraphBepi,INTRA,bacteria,linear,Q2YKV9,3,3,0.5873333333333334
GraphBepi,INTRA,bacteria,linear,P26623,3,2,0.5416666666666666
GraphBepi,INTRA,bacteria,linear,H7C7D7,3,3,0.8236666666666667
GraphBepi,INTRA,bacteria,linear,O84801,3,1,0.15266666666666667
GraphBepi,INTRA,bacteria,linear,Q2YQH3,2,0,0.134
GraphBepi,INTRA,bacteria,linear,Q83DT1,2,2,0.858
GraphBepi,INTRA,bacteria,linear,Q83EK8,2,1,0.202
GraphBepi,INTRA,bacteria,linear,P0DJI4,2,2,0.8815
GraphBepi,INTRA,bacteria,linear,P0CI27,2,2,0.7
GraphBepi,INTRA,bacteria,linear,Q8Y4I1,2,0,0.0
GraphBepi,INTRA,bacteria,linear,A0A0H3AUZ3,2,2,0.3855
GraphBepi,INTRA,bacteria,linear,O84848,2,0,0.0
GraphBepi,INTRA,bacteria,linear,O84700,2,2,1.0
GraphBepi,INTRA,bacteria,linear,O84583,2,1,0.3335
GraphBepi,INTRA,bacteria,linear,O84243,2,2,0.8335
GraphBepi,INTRA,bacteria,linear,O84819,2,2,0.9335
GraphBepi,INTRA,bacteria,linear,O84145,2,1,0.17500000000000002
GraphBepi,INTRA,bacteria,linear,O84226,1,1,0.867
GraphBepi,INTRA,bacteria,linear,Q9AGE6,1,0,0.133
GraphBepi,INTRA,bacteria,linear,Q8YG56,1,0,0.0
GraphBepi,INTRA,bacteria,linear,Q8YE76,1,0,0.048
GraphBepi,INTRA,bacteria,linear,Q8Y863,1,0,0.0
GraphBepi,INTRA,bacteria,linear,O84025,1,1,1.0
GraphBepi,INTRA,bacteria,linear,Q8Y498,1,1,0.357
GraphBepi,INTRA,bacteria,linear,O84061,1,1,0.233
GraphBepi,INTRA,bacteria,linear,O84091,1,1,0.7
GraphBepi,INTRA,bacteria,linear,O84103,1,1,0.4
GraphBepi,INTRA,bacteria,linear,O84229,1,1,1.0
GraphBepi,INTRA,bacteria,linear,P64024,1,0,0.0
GraphBepi,INTRA,bacteria,linear,P51752,1,1,0.867
GraphBepi,INTRA,bacteria,linear,P33379,1,0,0.2
GraphBepi,INTRA,bacteria,linear,O84385,1,0,0.0
GraphBepi,INTRA,bacteria,linear,P18584,1,0,0.077
GraphBepi,INTRA,bacteria,linear,P17821,1,0,0.0
GraphBepi,INTRA,bacteria,linear,O84449,1,1,0.375
GraphBepi,INTRA,bacteria,linear,O84546,1,0,0.0
GraphBepi,INTRA,bacteria,linear,O84608,1,0,0.091
GraphBepi,INTRA,bacteria,linear,O84627,1,0,0.2
GraphBepi,INTRA,bacteria,linear,O84701,1,1,0.818
GraphBepi,INTRA,bacteria,linear,Q9S529,1,0,0.0
