model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall,mean_precision
BepiPred,ESKAPE,bacteria,conformational,P11439,29,12,0.2862413793103448,0.013724137931034483
BepiPred,ESKAPE,bacteria,conformational,Q2FZF0,23,2,0.015217391304347825,0.0023478260869565218
BepiPred,ESKAPE,bacteria,conformational,Q2FWV3,12,11,0.8375,0.01875
BepiPred,ESKAPE,bacteria,conformational,Q2FXX5,10,10,0.8728,0.054000000000000006
BepiPred,ESKAPE,bacteria,conformational,Q2G1K8,6,1,0.16666666666666666,0.005999999999999999
BepiPred,ESKAPE,bacteria,conformational,Q2G2D8,4,4,0.55975,0.073
BepiPred,ESKAPE,bacteria,conformational,G3XD49,3,3,1.0,0.06533333333333334
BepiPred,ESKAPE,bacteria,conformational,Q2G015,2,0,0.0,0.0
BepiPred,ESKAPE,bacteria,conformational,Q2G032,2,0,0.0,0.0
BepiPred,ESKAPE,bacteria,conformational,Q2G0A2,2,0,0.0345,0.067
BepiPred,ESKAPE,bacteria,conformational,Q2G1X0,2,2,0.8514999999999999,0.14450000000000002
BepiPred,ESKAPE,bacteria,conformational,Q2FZB1,1,1,1.0,0.017
BepiPred,ESKAPE,bacteria,conformational,Q2FWP0,1,1,1.0,0.106
BepiPred,ESKAPE,bacteria,conformational,Q2G010,1,1,0.278,0.05
BepiPred,ESKAPE,bacteria,conformational,P35818,1,0,0.0,0.0
BepiPred,ESKAPE,bacteria,conformational,P13794,1,1,0.667,0.093
BepiPred,ESKAPE,bacteria,conformational,Q9I6J0,1,1,0.333,0.086
