model,organism,organism_name,group,type,iedb_id,uniprot,start,end,epitope_len,predicted_hits,recall,hit_abs,hit_rel,hit,threshold,K_abs,P_rel,out_of_range,reason
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,32,Q60153,180,194,15,6.0,0.4,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,122,P56963,526,555,30,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,230,P56963,276,305,30,2.0,0.067,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,458,Q60153,182,206,25,15.0,0.6,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,682,P56963,501,530,30,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,707,Q60153,145,168,24,6.0,0.25,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,708,Q60153,170,193,24,10.0,0.417,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,771,P56963,51,80,30,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,1184,Q60153,157,181,25,11.0,0.44,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,1185,Q60153,182,207,26,15.0,0.577,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,1584,Q57193,53,58,6,6.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,1725,P18013,175,182,8,6.0,0.75,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,3616,P18013,117,124,8,3.0,0.375,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,4052,Q60153,24,43,20,2.0,0.1,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,4317,P18012,300,307,8,6.0,0.75,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,4507,Q60153,195,208,14,11.0,0.786,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,5261,Q60153,166,179,14,8.0,0.571,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,5867,P01556,75,85,11,11.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,7127,P18013,322,329,8,4.0,0.5,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,7644,P56963,26,55,30,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,8781,P18012,251,258,8,7.0,0.875,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,8790,P18012,15,22,8,5.0,0.625,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,9305,Q60153,200,211,12,7.0,0.583,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,9629,P18011,169,179,11,7.0,0.636,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,10683,P18013,88,95,8,3.0,0.375,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,10876,P18011,136,146,11,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,12792,P01556,104,118,15,8.0,0.533,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,12981,P18013,122,129,8,6.0,0.75,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,13158,P18013,112,119,8,5.0,0.625,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Salmonella enterica,bacteria,linear,13634,A0A0H3NKE0,78,89,12,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,14836,Q57193,72,74,3,3.0,1.0,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,14841,Q57193,72,77,6,6.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Salmonella enterica,bacteria,linear,15183,A0A0H3NBQ0,100,108,9,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,17545,Q57193,69,74,6,4.0,0.667,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,17665,P18013,283,290,8,5.0,0.625,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,17806,P18013,15,22,8,8.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,17901,Q57193,46,51,6,4.0,0.667,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,18787,Q57193,66,85,20,17.0,0.85,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,18974,Q60153,173,185,13,5.0,0.385,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,19611,P56963,2,31,30,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Salmonella enterica,bacteria,linear,20129,A0A0H3NVD8,309,314,6,1.0,0.167,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,20591,Q60153,77,90,14,6.0,0.429,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,20673,Q57193,54,59,6,5.0,0.833,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,22461,Q57193,75,80,6,6.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,22529,P18013,22,29,8,8.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Salmonella enterica,bacteria,linear,22837,A0A0H3NJI9,267,276,10,0.0,0.0,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,24035,Q57193,78,83,6,6.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,24037,P01556,57,69,13,9.0,0.692,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,24083,P18012,39,46,8,8.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,24411,Q57193,34,39,6,6.0,1.0,True,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Shigella flexneri,bacteria,linear,24846,P18013,81,88,8,4.0,0.5,False,True,True,0.17,5,0.25,False,
GraphBepi,GAST,Vibrio cholerae,bacteria,linear,25224,Q57193,117,122,6,1.0,0.167,False,False,False,0.17,5,0.25,False,
GraphBepi,GAST,Campylobacter jejuni,bacteria,linear,25240,P56963,376,405,30,0.0,0.0,False,False,False,0.17,5,0.25,False,
