model,organism,organism_name,group,type,iedb_id,uniprot,start,end,epitope_len,predicted_hits,recall,hit_abs,hit_rel,hit,threshold,K_abs,P_rel,out_of_range,reason
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,105,Q46409,231,240,10,10.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,952,Q46409,333,338,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,1430,Q46409,324,329,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,1482,Q46409,327,332,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,1499,Q46409,326,335,10,10.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,2785,Q46409,128,152,25,7.0,0.28,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Brucella abortus,bacteria,linear,3562,Q2YKV9,75,86,12,12.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,3612,P21171,295,304,21,10.0,0.476,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,3854,P21171,298,307,21,10.0,0.476,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,3873,P21171,150,159,21,10.0,0.476,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,4032,Q46409,259,264,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,5054,P0C0Z7,260,271,12,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,6352,Q46409,327,333,7,7.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,7107,Q46409,101,110,10,10.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,7461,Q46409,92,96,5,5.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,7665,Q46409,171,174,4,4.0,1.0,False,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,8010,P13128,59,66,8,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,9454,Q46409,161,174,14,14.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,10538,Q46409,92,102,11,11.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,10539,Q46409,92,103,12,12.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,10648,Q46409,328,334,7,7.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,10757,Q46409,269,274,6,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,10768,P0C0Z7,188,199,12,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,11269,P13128,483,493,11,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,12057,Q46409,246,255,10,10.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,12219,Q46409,18,23,6,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,15473,Q46409,315,331,17,17.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,15529,P33379,298,307,10,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,17326,Q46409,222,227,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,17328,Q46409,188,193,6,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,18519,Q46409,85,105,21,21.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,18583,Q46409,325,330,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,18584,Q46409,325,331,7,7.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,18621,P0C0Z7,464,475,12,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,18707,Q46409,332,336,5,5.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,19108,P0C0Z7,282,293,12,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Brucella abortus,bacteria,linear,19705,Q2YKV9,149,162,14,14.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Listeria monocytogenes,bacteria,linear,20521,P13128,271,279,9,0.0,0.0,False,False,False,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,21084,Q46409,95,98,4,4.0,1.0,False,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,23490,Q46409,241,250,10,10.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,25276,Q46409,323,327,5,5.0,1.0,True,True,True,0.151,5,0.25,False,
BepiPred,INTRA,Chlamydia trachomatis,bacteria,linear,25277,Q46409,323,328,6,6.0,1.0,True,True,True,0.151,5,0.25,False,
