model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
BepiPred,INTRA,bacteria,linear,Q46409,425,357,0.7678658823529412
BepiPred,INTRA,bacteria,linear,P38006,25,16,0.4314
BepiPred,INTRA,bacteria,linear,P0C0Z7,18,1,0.025666666666666667
BepiPred,INTRA,bacteria,linear,P21171,16,16,0.5333749999999999
BepiPred,INTRA,bacteria,linear,P0CC04,11,7,0.5765454545454546
BepiPred,INTRA,bacteria,linear,O84818,10,0,0.0
BepiPred,INTRA,bacteria,linear,O84462,9,0,0.0
BepiPred,INTRA,bacteria,linear,P0A3U4,8,5,0.43375
BepiPred,INTRA,bacteria,linear,P0A3U8,7,5,0.5265714285714286
BepiPred,INTRA,bacteria,linear,P0DPS6,6,5,0.8416666666666667
BepiPred,INTRA,bacteria,linear,O84534,6,6,0.8645
BepiPred,INTRA,bacteria,linear,P13128,6,0,0.0
BepiPred,INTRA,bacteria,linear,O84419,5,0,0.0
BepiPred,INTRA,bacteria,linear,O84623,4,4,0.85175
BepiPred,INTRA,bacteria,linear,O84883,4,4,0.7582500000000001
BepiPred,INTRA,bacteria,linear,O84047,4,3,0.47075
BepiPred,INTRA,bacteria,linear,P26623,3,1,0.111
BepiPred,INTRA,bacteria,linear,Q2YKV9,3,3,0.7999999999999999
BepiPred,INTRA,bacteria,linear,O84801,3,1,0.3333333333333333
BepiPred,INTRA,bacteria,linear,H7C7D7,3,2,0.225
BepiPred,INTRA,bacteria,linear,O84848,2,0,0.0
BepiPred,INTRA,bacteria,linear,P0DJI4,2,2,0.7125
BepiPred,INTRA,bacteria,linear,P0CI27,2,1,0.1625
BepiPred,INTRA,bacteria,linear,Q2YQH3,2,1,0.2145
BepiPred,INTRA,bacteria,linear,Q83DT1,2,2,1.0
BepiPred,INTRA,bacteria,linear,Q83EK8,2,2,0.6925
BepiPred,INTRA,bacteria,linear,Q8Y4I1,2,0,0.0
BepiPred,INTRA,bacteria,linear,A0A0H3AUZ3,2,2,0.5415
BepiPred,INTRA,bacteria,linear,O84819,2,2,0.7
BepiPred,INTRA,bacteria,linear,O84700,2,2,1.0
BepiPred,INTRA,bacteria,linear,O84583,2,1,0.45
BepiPred,INTRA,bacteria,linear,O84243,2,0,0.0
BepiPred,INTRA,bacteria,linear,O84145,2,2,0.579
BepiPred,INTRA,bacteria,linear,P64024,1,0,0.0
BepiPred,INTRA,bacteria,linear,Q9AGE6,1,0,0.0
BepiPred,INTRA,bacteria,linear,Q8YG56,1,1,0.268
BepiPred,INTRA,bacteria,linear,Q8YE76,1,0,0.0
BepiPred,INTRA,bacteria,linear,Q8Y863,1,0,0.0
BepiPred,INTRA,bacteria,linear,O84025,1,1,1.0
BepiPred,INTRA,bacteria,linear,Q8Y498,1,1,0.286
BepiPred,INTRA,bacteria,linear,O84061,1,1,0.367
BepiPred,INTRA,bacteria,linear,O84091,1,1,0.8
BepiPred,INTRA,bacteria,linear,O84103,1,1,1.0
BepiPred,INTRA,bacteria,linear,O84149,1,0,0.0
BepiPred,INTRA,bacteria,linear,O84226,1,1,0.8
BepiPred,INTRA,bacteria,linear,P51752,1,1,0.667
BepiPred,INTRA,bacteria,linear,O84701,1,1,1.0
BepiPred,INTRA,bacteria,linear,P33379,1,0,0.0
BepiPred,INTRA,bacteria,linear,O84229,1,1,0.2
BepiPred,INTRA,bacteria,linear,P18584,1,0,0.0
BepiPred,INTRA,bacteria,linear,P17821,1,0,0.0
BepiPred,INTRA,bacteria,linear,O84385,1,0,0.1
BepiPred,INTRA,bacteria,linear,O84449,1,0,0.125
BepiPred,INTRA,bacteria,linear,O84546,1,0,0.0
BepiPred,INTRA,bacteria,linear,O84608,1,0,0.0
BepiPred,INTRA,bacteria,linear,O84627,1,0,0.0
BepiPred,INTRA,bacteria,linear,Q9S529,1,1,0.278
