model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
ElliPro,INTRA,bacteria,linear,Q46409,425,333,0.6267670588235293
ElliPro,INTRA,bacteria,linear,P38006,25,18,0.45211999999999997
ElliPro,INTRA,bacteria,linear,P0C0Z7,18,15,0.5859444444444445
ElliPro,INTRA,bacteria,linear,P21171,16,16,0.5415
ElliPro,INTRA,bacteria,linear,P0CC04,11,10,0.9204545454545454
ElliPro,INTRA,bacteria,linear,O84818,10,9,0.7652
ElliPro,INTRA,bacteria,linear,O84462,9,9,0.7712222222222223
ElliPro,INTRA,bacteria,linear,P0A3U4,8,6,0.5255
ElliPro,INTRA,bacteria,linear,P0A3U8,7,6,0.5864285714285715
ElliPro,INTRA,bacteria,linear,P0DPS6,6,6,0.6356666666666667
ElliPro,INTRA,bacteria,linear,O84534,6,6,0.6993333333333333
ElliPro,INTRA,bacteria,linear,P13128,6,6,0.875
ElliPro,INTRA,bacteria,linear,O84419,5,5,0.9134
ElliPro,INTRA,bacteria,linear,O84883,4,3,0.60825
ElliPro,INTRA,bacteria,linear,O84623,4,4,0.85
ElliPro,INTRA,bacteria,linear,O84047,4,4,0.63
ElliPro,INTRA,bacteria,linear,P26623,3,3,0.8146666666666667
ElliPro,INTRA,bacteria,linear,Q2YKV9,3,2,0.46799999999999997
ElliPro,INTRA,bacteria,linear,O84801,3,1,0.3333333333333333
ElliPro,INTRA,bacteria,linear,H7C7D7,3,2,0.5833333333333334
ElliPro,INTRA,bacteria,linear,Q2YQH3,2,1,0.357
ElliPro,INTRA,bacteria,linear,P0DJI4,2,1,0.519
ElliPro,INTRA,bacteria,linear,P0CI27,2,2,0.825
ElliPro,INTRA,bacteria,linear,Q83DT1,2,1,0.281
ElliPro,INTRA,bacteria,linear,Q83EK8,2,1,0.6155
ElliPro,INTRA,bacteria,linear,Q8Y4I1,2,0,0.182
ElliPro,INTRA,bacteria,linear,A0A0H3AUZ3,2,2,0.6134999999999999
ElliPro,INTRA,bacteria,linear,O84848,2,1,0.5
ElliPro,INTRA,bacteria,linear,O84700,2,2,1.0
ElliPro,INTRA,bacteria,linear,O84583,2,2,0.55
ElliPro,INTRA,bacteria,linear,O84243,2,2,0.556
ElliPro,INTRA,bacteria,linear,O84819,2,2,0.5
ElliPro,INTRA,bacteria,linear,O84145,2,2,0.7275
ElliPro,INTRA,bacteria,linear,O84226,1,1,0.9
ElliPro,INTRA,bacteria,linear,Q9AGE6,1,1,0.467
ElliPro,INTRA,bacteria,linear,Q8YG56,1,1,0.39
ElliPro,INTRA,bacteria,linear,Q8YE76,1,1,1.0
ElliPro,INTRA,bacteria,linear,Q8Y863,1,0,0.094
ElliPro,INTRA,bacteria,linear,O84025,1,1,0.7
ElliPro,INTRA,bacteria,linear,Q8Y498,1,1,0.857
ElliPro,INTRA,bacteria,linear,O84061,1,1,0.367
ElliPro,INTRA,bacteria,linear,O84091,1,1,0.633
ElliPro,INTRA,bacteria,linear,O84103,1,0,0.0
ElliPro,INTRA,bacteria,linear,O84229,1,1,0.6
ElliPro,INTRA,bacteria,linear,P64024,1,0,0.0
ElliPro,INTRA,bacteria,linear,P51752,1,1,0.267
ElliPro,INTRA,bacteria,linear,P33379,1,1,1.0
ElliPro,INTRA,bacteria,linear,O84385,1,1,0.6
ElliPro,INTRA,bacteria,linear,P18584,1,1,0.615
ElliPro,INTRA,bacteria,linear,P17821,1,1,0.375
ElliPro,INTRA,bacteria,linear,O84449,1,1,0.812
ElliPro,INTRA,bacteria,linear,O84546,1,0,0.0
ElliPro,INTRA,bacteria,linear,O84608,1,1,0.364
ElliPro,INTRA,bacteria,linear,O84627,1,1,0.3
ElliPro,INTRA,bacteria,linear,O84701,1,1,1.0
ElliPro,INTRA,bacteria,linear,Q9S529,1,1,0.556
