model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall
DiscoTope,RESP,bacteria,linear,P14283,124,52,0.285741935483871
DiscoTope,RESP,bacteria,linear,P9WQP1,78,33,0.2267051282051282
DiscoTope,RESP,bacteria,linear,P10324,76,48,0.295421052631579
DiscoTope,RESP,bacteria,linear,P9WMJ9,67,22,0.23507462686567165
DiscoTope,RESP,bacteria,linear,P9WPE7,65,22,0.17907692307692308
DiscoTope,RESP,bacteria,linear,P0A3R5,62,29,0.2590967741935484
DiscoTope,RESP,bacteria,linear,P9WPE5,55,30,0.3159090909090909
DiscoTope,RESP,bacteria,linear,P43839,51,17,0.28652941176470587
DiscoTope,RESP,bacteria,linear,P04977,48,19,0.204
DiscoTope,RESP,bacteria,linear,A0A0H2UMZ8,47,30,0.33089361702127656
DiscoTope,RESP,bacteria,linear,P9WGU1,35,14,0.2058
DiscoTope,RESP,bacteria,linear,P9WNF5,32,12,0.18975
DiscoTope,RESP,bacteria,linear,P04979,23,15,0.23995652173913043
DiscoTope,RESP,bacteria,linear,P9WNK7,23,9,0.22443478260869565
DiscoTope,RESP,bacteria,linear,P9WNK5,22,7,0.15645454545454546
DiscoTope,RESP,bacteria,linear,P43838,19,12,0.24073684210526314
DiscoTope,RESP,bacteria,linear,P05788,19,9,0.2672631578947368
DiscoTope,RESP,bacteria,linear,P9WK61,18,5,0.16783333333333333
DiscoTope,RESP,bacteria,linear,P9WMK1,17,6,0.23864705882352943
DiscoTope,RESP,bacteria,linear,P17835,17,10,0.349
DiscoTope,RESP,bacteria,linear,P04978,15,9,0.23493333333333333
DiscoTope,RESP,bacteria,linear,Q79GX8,13,13,0.7521538461538462
DiscoTope,RESP,bacteria,linear,P9WJE1,13,8,0.18207692307692308
DiscoTope,RESP,bacteria,linear,P9WHZ5,12,4,0.19983333333333334
DiscoTope,RESP,bacteria,linear,P0C2J9,11,9,0.4400909090909091
DiscoTope,RESP,bacteria,linear,I6Y293,11,3,0.16372727272727275
DiscoTope,RESP,bacteria,linear,I6Y231,10,4,0.22000000000000003
DiscoTope,RESP,bacteria,linear,P9WIN9,10,5,0.2233
DiscoTope,RESP,bacteria,linear,P9WQF3,10,3,0.20740000000000003
DiscoTope,RESP,bacteria,linear,A0A0H2US50,9,2,0.11166666666666668
DiscoTope,RESP,bacteria,linear,P9WJD3,8,4,0.28337500000000004
DiscoTope,RESP,bacteria,linear,P9WGT9,8,4,0.24175000000000002
DiscoTope,RESP,bacteria,linear,P43840,8,8,0.577125
DiscoTope,RESP,bacteria,linear,Q06282,8,7,0.317
DiscoTope,RESP,bacteria,linear,P9WGY9,7,4,0.26685714285714285
DiscoTope,RESP,bacteria,linear,P9WIP1,6,2,0.16666666666666666
DiscoTope,RESP,bacteria,linear,P9WQP3,6,2,0.2611666666666667
DiscoTope,RESP,bacteria,linear,P9WK17,6,2,0.311
DiscoTope,RESP,bacteria,linear,P96402,6,2,0.15
DiscoTope,RESP,bacteria,linear,P9WJD9,6,1,0.1555
DiscoTope,RESP,bacteria,linear,P43926,6,2,0.16
DiscoTope,RESP,bacteria,linear,L7N675,5,3,0.2136
DiscoTope,RESP,bacteria,linear,P9WFR1,5,2,0.2266
DiscoTope,RESP,bacteria,linear,P9WGY7,5,4,0.3458
DiscoTope,RESP,bacteria,linear,P9WHE3,5,0,0.0134
DiscoTope,RESP,bacteria,linear,P96394,5,2,0.3068
DiscoTope,RESP,bacteria,linear,P9WJW7,5,1,0.1608
DiscoTope,RESP,bacteria,linear,O06404,5,0,0.09
DiscoTope,RESP,bacteria,linear,P9WL51,5,2,0.18580000000000002
DiscoTope,RESP,bacteria,linear,P9WNF3,5,0,0.1066
DiscoTope,RESP,bacteria,linear,P9WJQ9,4,1,0.1
DiscoTope,RESP,bacteria,linear,O53611,4,2,0.21675
DiscoTope,RESP,bacteria,linear,L0T7Y7,4,1,0.13325
DiscoTope,RESP,bacteria,linear,P9WGT7,4,1,0.183
DiscoTope,RESP,bacteria,linear,P9WG67,4,3,0.29175
DiscoTope,RESP,bacteria,linear,P9WP43,4,3,0.2745
DiscoTope,RESP,bacteria,linear,P9WIP9,4,2,0.09075
DiscoTope,RESP,bacteria,linear,P9WN09,4,4,0.31675000000000003
DiscoTope,RESP,bacteria,linear,P9WIR7,3,2,0.24466666666666667
DiscoTope,RESP,bacteria,linear,A0A0H2UN40,3,0,0.11666666666666665
DiscoTope,RESP,bacteria,linear,P9WKL1,3,0,0.08900000000000001
DiscoTope,RESP,bacteria,linear,O33192,3,0,0.022333333333333334
DiscoTope,RESP,bacteria,linear,P95149,3,1,0.1466666666666667
DiscoTope,RESP,bacteria,linear,P9WFC9,3,1,0.22233333333333336
DiscoTope,RESP,bacteria,linear,P9WI41,3,2,0.37766666666666665
DiscoTope,RESP,bacteria,linear,P95229,3,2,0.2886666666666667
DiscoTope,RESP,bacteria,linear,P9WNK3,3,1,0.13333333333333333
DiscoTope,RESP,bacteria,linear,P9WNE5,3,3,0.25566666666666665
DiscoTope,RESP,bacteria,linear,A0A0H2UPR0,3,3,0.3666666666666667
DiscoTope,RESP,bacteria,linear,O53732,3,0,0.044333333333333336
DiscoTope,RESP,bacteria,linear,Q6MX49,3,3,0.4666666666666666
DiscoTope,RESP,bacteria,linear,Q79FE6,3,0,0.111
DiscoTope,RESP,bacteria,linear,Q79FZ9,3,2,0.29533333333333334
DiscoTope,RESP,bacteria,linear,P9WJA3,2,0,0.1
DiscoTope,RESP,bacteria,linear,P9WI33,2,1,0.3335
DiscoTope,RESP,bacteria,linear,Q79FA9,2,1,0.2
DiscoTope,RESP,bacteria,linear,P9WQB1,2,2,0.4
DiscoTope,RESP,bacteria,linear,P9WI05,2,1,0.267
DiscoTope,RESP,bacteria,linear,P9WPQ1,2,2,0.4
DiscoTope,RESP,bacteria,linear,P9WPL7,2,1,0.1585
DiscoTope,RESP,bacteria,linear,Q97QP7,2,2,0.7575000000000001
DiscoTope,RESP,bacteria,linear,P9WQN7,2,1,0.2335
DiscoTope,RESP,bacteria,linear,P9WI37,2,1,0.3265
DiscoTope,RESP,bacteria,linear,P9WJA9,2,1,0.30000000000000004
DiscoTope,RESP,bacteria,linear,P9WLS9,2,1,0.1735
DiscoTope,RESP,bacteria,linear,P9WI79,2,1,0.367
DiscoTope,RESP,bacteria,linear,P9WQM5,2,0,0.08
DiscoTope,RESP,bacteria,linear,P9WIB5,2,0,0.0
DiscoTope,RESP,bacteria,linear,P9WIM9,2,0,0.1435
DiscoTope,RESP,bacteria,linear,P9WNU5,2,1,0.2335
DiscoTope,RESP,bacteria,linear,P9WNJ3,2,0,0.1
DiscoTope,RESP,bacteria,linear,P9WJC3,2,0,0.0
DiscoTope,RESP,bacteria,linear,P9WHY9,2,0,0.0335
DiscoTope,RESP,bacteria,linear,P9WHV9,2,1,0.30000000000000004
DiscoTope,RESP,bacteria,linear,O53966,2,1,0.2335
DiscoTope,RESP,bacteria,linear,P9WG25,2,0,0.0
DiscoTope,RESP,bacteria,linear,O53972,2,1,0.4265
DiscoTope,RESP,bacteria,linear,O07175,2,2,0.5
DiscoTope,RESP,bacteria,linear,P26093,2,2,0.35
DiscoTope,RESP,bacteria,linear,P43724,2,0,0.2
DiscoTope,RESP,bacteria,linear,P44600,2,1,0.143
DiscoTope,RESP,bacteria,linear,P44970,2,2,0.5249999999999999
DiscoTope,RESP,bacteria,linear,P71810,2,1,0.1665
DiscoTope,RESP,bacteria,linear,P96264,2,2,0.307
DiscoTope,RESP,bacteria,linear,O05461,2,1,0.40499999999999997
DiscoTope,RESP,bacteria,linear,I6Y936,2,0,0.1
DiscoTope,RESP,bacteria,linear,P9WFL9,2,1,0.167
DiscoTope,RESP,bacteria,linear,P95202,2,2,0.6
DiscoTope,RESP,bacteria,linear,O53519,2,2,0.367
DiscoTope,RESP,bacteria,linear,A0A0H2UNY9,2,2,0.185
DiscoTope,RESP,bacteria,linear,P9WHM5,2,0,0.1265
