model,organism,group,type,uniprot,n_epitopes,n_hits,mean_recall,mean_precision
GraphBepi,ESKAPE,bacteria,conformational,P11439,29,20,0.38482758620689655,0.01493103448275862
GraphBepi,ESKAPE,bacteria,conformational,Q2FZF0,23,0,0.0025652173913043477,0.021739130434782608
GraphBepi,ESKAPE,bacteria,conformational,Q2FWV3,12,12,1.0,0.017916666666666668
GraphBepi,ESKAPE,bacteria,conformational,Q2FXX5,10,9,0.2904,0.0423
GraphBepi,ESKAPE,bacteria,conformational,Q2G1K8,6,4,0.6666666666666666,0.007333333333333333
GraphBepi,ESKAPE,bacteria,conformational,Q2G2D8,4,4,0.5685,0.1365
GraphBepi,ESKAPE,bacteria,conformational,G3XD49,3,3,1.0,0.05533333333333334
GraphBepi,ESKAPE,bacteria,conformational,Q2G015,2,0,0.0,0.0
GraphBepi,ESKAPE,bacteria,conformational,Q2G032,2,0,0.1,0.0625
GraphBepi,ESKAPE,bacteria,conformational,Q2G0A2,2,2,0.1155,0.1
GraphBepi,ESKAPE,bacteria,conformational,Q2G1X0,2,2,0.184,0.25
GraphBepi,ESKAPE,bacteria,conformational,Q2FZB1,1,0,0.0,0.0
GraphBepi,ESKAPE,bacteria,conformational,Q2FWP0,1,1,0.455,0.5
GraphBepi,ESKAPE,bacteria,conformational,Q2G010,1,1,0.111,0.042
GraphBepi,ESKAPE,bacteria,conformational,P35818,1,0,0.0,0.0
GraphBepi,ESKAPE,bacteria,conformational,P13794,1,1,0.583,0.179
GraphBepi,ESKAPE,bacteria,conformational,Q9I6J0,1,1,0.667,0.217
